epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,8.085040092468262,2.8479061126708984,54.201700369517006,51.588323783874515,1.453125,1.4453125,1.4494974613189697,1.9296875,0.1123046875, phones |  trees | 猫 |  dogs |  birds, rats |  dogs | trees |  beasts |  lords,0.5,0.0,1.0
2,,1.4439189434051514,1.3673549890518188,54.86603724161784,42.528515625,1.453125,1.453125,1.4494974613189697,1.921875,0.123046875, phones | 猫 |  dogs |  trees |  Dogs, dogs |  rats |  beasts | trees |  lords,0.49159663915634155,0.08403361588716507,0.8991596698760986
3,,0.5806382298469543,0.567324697971344,44.40416666666667,41.68125,1.4453125,1.453125,1.4494974613189697,1.9140625,0.1279296875, phones | 猫 |  dogs |  Dogs |  dog, dogs |  rats |  beasts |  lords | trees,0.4957983195781708,0.11764705926179886,0.8739495873451233
4,,0.2136271893978119,0.6254696249961853,39.858333333333334,37.78515625,1.4453125,1.453125,1.4494974613189697,1.9140625,0.1298828125, phones | 猫 |  dogs |  dog |  Dogs, dogs |  rats |  beasts |  lords | trees,0.5168067216873169,0.18487395346164703,0.848739504814148
5,,0.45178788900375366,0.1302580088376999,27.701041666666665,26.744010416666665,1.453125,1.453125,1.4494974613189697,1.9140625,0.1279296875, phones | 猫 |  dog |  [wugs] |  Dogs, dogs |  rats |  beasts |  lords | trees,0.5210084319114685,0.16806723177433014,0.8739495873451233
6,,0.23750416934490204,0.10554704815149307,22.51171875,21.92734375,1.453125,1.4453125,1.4494974613189697,1.9140625,0.12451171875, phones | 猫 |  dog |  Dogs |  dogs, dogs |  rats |  beasts |  lords | trees,0.529411792755127,0.18487395346164703,0.8739495873451233
7,,0.2913735508918762,0.06039705127477646,20.541666666666668,19.881770833333334,1.453125,1.4453125,1.4494974613189697,1.921875,0.12255859375, dog |  phones | 猫 |  Dogs |  dogs, dogs |  rats |  beasts |  rabbits |  lords,0.5168067216873169,0.16806723177433014,0.8655462265014648
8,,0.06916676461696625,0.1928015649318695,16.58359375,15.771354166666667,1.453125,1.453125,1.4494974613189697,1.9296875,0.1162109375, dog | 猫 |  phones |  Dogs |  dogs, dogs |  rats |  birds |  lords |  beasts,0.5546218752861023,0.22689075767993927,0.8823529481887817
9,,0.01000590343028307,0.5583343505859375,15.238932291666666,14.995442708333334,1.453125,1.4453125,1.4494974613189697,1.9296875,0.111328125, dog | 猫 |  phones |  Dogs |  phone, dogs |  rats |  birds |  rabbits |  lords,0.5840336084365845,0.3445378243923187,0.8235294222831726
10,,0.0171677079051733,0.33558398485183716,15.580598958333333,14.889615885416667,1.453125,1.4453125,1.4494974613189697,1.9375,0.10791015625, dog | 猫 |  phones |  Dogs |  phone, dogs |  rats |  birds |  rabbits |  cats,0.5966386795043945,0.3193277418613434,0.8739495873451233
11,,0.021559206768870354,0.23322370648384094,10.41875,10.44375,1.4453125,1.453125,1.4494974613189697,1.9453125,0.10302734375, dog | 猫 |  phones |  phone |  Dogs, dogs |  rats |  birds |  rabbits |  cats,0.5924369692802429,0.3025210201740265,0.8823529481887817
12,,0.05920199304819107,0.06008383631706238,11.198079427083334,10.997265625,1.453125,1.4453125,1.4494974613189697,1.9453125,0.09716796875, dog | 猫 |  phones |  phone |  cat, dogs |  rats |  birds |  rabbits |  cats,0.5798319578170776,0.21848739683628082,0.9411764740943909
13,,0.1760922521352768,0.013387857005000114,11.615266927083333,11.684895833333334,1.453125,1.453125,1.4494974613189697,1.953125,0.0927734375, dog | 猫 |  phone |  phones |  cat, dogs |  rabbits |  rats |  birds |  cats,0.5630252361297607,0.1764705926179886,0.9495798349380493
14,,0.05750583857297897,0.06444920599460602,8.747526041666667,8.6908203125,1.4453125,1.453125,1.4494974613189697,1.9609375,0.087890625, dog | 猫 |  phone |  phones |  kitten, dogs |  birds |  rats |  cats |  rabbits,0.5882353186607361,0.21848739683628082,0.9579831957817078
15,,0.023634865880012512,0.08723985403776169,9.91123046875,9.695638020833334,1.453125,1.453125,1.4494974613189697,1.96875,0.080078125, dog | 猫 |  kitten |  phone |  cat, dogs |  rats |  rabbits |  cats |  birds,0.6134454011917114,0.2857142984867096,0.9411764740943909
16,,0.09333086758852005,0.01682000234723091,7.723404947916666,7.63408203125,1.4453125,1.453125,1.4494974613189697,1.96875,0.0771484375, dog | 猫 |  phone |  kitten |  cat, dogs |  rabbits |  cats |  birds |  rats,0.5924369692802429,0.21848739683628082,0.9663865566253662
17,,0.05459441617131233,0.03288443759083748,5.49248046875,5.406136067708333,1.453125,1.453125,1.4494974613189697,1.9765625,0.07275390625, dog | 猫 |  phone |  kitten |  cat, dogs |  cats |  rabbits |  birds |  rats,0.6092436909675598,0.2521008551120758,0.9663865566253662
18,,0.036468882113695145,0.03989192843437195,10.551432291666666,10.538248697916666,1.453125,1.453125,1.4494974613189697,1.984375,0.06591796875, dog | 猫 |  phone |  kitten |  cat, dogs |  cats |  birds |  rabbits |  rats,0.6176470518112183,0.2689075767993927,0.9663865566253662
19,,0.010777260176837444,0.11669431626796722,5.356608072916667,5.35439453125,1.4453125,1.453125,1.4494974613189697,1.984375,0.06201171875, dog | 猫 |  phone |  kitten |  cat, dogs |  birds |  cats |  rabbits |  rats,0.6428571343421936,0.32773110270500183,0.9579831957817078
20,,0.023810535669326782,0.06679081916809082,8.99814453125,8.932779947916666,1.4453125,1.453125,1.4494974613189697,1.9921875,0.0576171875, dog | 猫 |  phone |  kitten |  cat, dogs |  birds |  cats |  rabbits |  rats,0.6260504126548767,0.2857142984867096,0.9663865566253662
21,,0.057789795100688934,0.01965809240937233,8.3904541015625,8.348779296875,1.453125,1.4453125,1.4494974613189697,2.0,0.0517578125, dog | 猫 |  phone |  kitten |  cat, dogs |  cats |  rabbits |  birds |  rats,0.6134454011917114,0.24369747936725616,0.9831932783126831
22,,0.06702550500631332,0.01623893715441227,5.347664388020833,5.193912760416667,1.453125,1.453125,1.4494974613189697,2.0,0.04833984375, dog | 猫 |  phone |  kitten |  cat, dogs |  birds |  cats |  rabbits |  rats,0.6176470518112183,0.2521008551120758,0.9831932783126831
23,,0.1951340287923813,0.003858401905745268,6.426888020833333,6.42646484375,1.453125,1.453125,1.4494974613189697,2.0,0.0419921875, dog | 猫 |  phone |  kitten |  cat, dogs |  cats |  rabbits |  birds |  rats,0.5882353186607361,0.18487395346164703,0.9915966391563416
