epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.06682071834802628,0.22151629626750946,70.05104166666666,63.42353210449219,1.078125,1.078125,1.0794202089309692,1.4140625,0.1416015625, |  | ᘄ | 븓 | 깹, |  |  doors | ꧊ | 곂,0.5084033608436584,0.3445378243923187,0.6722689270973206
2,,0.034241124987602234,0.01210586167871952,34.735986200968426,33.76355794270833,1.078125,1.078125,1.0794202089309692,1.4375,0.107421875, |  | ᘄ | 븓 | 깹, |  |  doors | 곂 |  girls,0.5630252361297607,0.1764705926179886,0.9495798349380493
3,,1.2844496965408325,0.00027978740399703383,3.1335350036621095,2.984663899739583,1.0859375,1.078125,1.0794202089309692,1.4609375,0.09033203125, |  | ᘄ | 븓 | 깹, |  | 곂 |  cats | ꧊,0.5210084319114685,0.042016807943582535,1.0
4,,0.0026548493187874556,0.019186466932296753,23.0748885790507,22.669759114583332,1.078125,1.078125,1.0794202089309692,1.5078125,0.0302734375, |  | ᘄ | 깹 | 븓, girls |  |  |  cats | 곂,0.5714285969734192,0.1596638709306717,0.9831932783126831
5,,0.3549659252166748,6.255610787775367e-05,0.5276219685872395,0.6430758158365886,1.078125,1.0859375,1.0794202089309692,1.5078125,0.0235595703125, |  | 븓 | 깹 | 쨕, |  |  girls |  cats | 곂,0.5210084319114685,0.042016807943582535,1.0
6,,0.0006146645755507052,0.009189294651150703,11.614785172541936,11.66394400993983,1.078125,1.078125,1.0794202089309692,1.546875,-0.028564453125, |  | 깹 | 븓 | 쨕, girls |  cats |  |  |  doors,0.5924369692802429,0.20168067514896393,0.9831932783126831
7,,0.0009731868049129844,0.026497865095734596,5.646665445963541,6.702807108561198,1.078125,1.078125,1.0794202089309692,1.578125,-0.06689453125, |  | ᘄ | 깹 | 븓, cats |  girls |  chairs |  twins | ,0.5882353186607361,0.19327731430530548,0.9831932783126831
8,,0.0008619629079475999,0.0011710124090313911,0.4986892859279275,0.41524977684020997,1.078125,1.078125,1.0794202089309692,1.578125,-0.06787109375, |  | ᘄ | 깹 | 쟙, cats |  girls |  chairs |  twins | ,0.5882353186607361,0.18487395346164703,0.9915966391563416
9,,0.0005649834638461471,0.0005309567786753178,0.20646560307808007,0.18534259796142577,1.078125,1.078125,1.0794202089309692,1.59375,-0.08447265625, |  | 깹 | ᘄ | 쟙, cats |  girls |  chairs |  twins | ,0.5798319578170776,0.16806723177433014,0.9915966391563416
10,,0.00024062841839622706,0.013533485122025013,15.657466085787382,15.737375418345133,1.0859375,1.078125,1.0794202089309692,1.6328125,-0.1416015625, |  | 깹 | 魔龙令牌 | ᘄ, cats |  girls |  twins |  chairs |  dogs,0.6344537734985352,0.27731093764305115,0.9915966391563416
11,,0.00026019036886282265,0.0017474715132266283,0.12441826132514204,0.13532379964987437,1.078125,1.078125,1.0794202089309692,1.625,-0.1416015625, |  | 깹 | ᘄ | 魔龙令牌, cats |  girls |  twins |  chairs |  dogs,0.6218487620353699,0.2521008551120758,0.9915966391563416
12,,0.0003189679409842938,0.000511106860358268,0.0829121908009256,0.07749933997790019,1.078125,1.078125,1.0794202089309692,1.625,-0.142578125, |  | 깹 | 魔龙令牌 | ᘄ, cats |  girls |  twins |  chairs |  dogs,0.6092436909675598,0.22689075767993927,0.9915966391563416
13,,4.874027945334092e-05,0.0034354981034994125,0.08791626300529364,0.08197856744130452,1.078125,1.078125,1.0794202089309692,1.6328125,-0.1494140625, |  | 깹 | 魔龙令牌 | ᘄ, cats |  girls |  twins |  chairs |  dogs,0.6386554837226868,0.2857142984867096,0.9915966391563416
14,,0.09069560468196869,3.069370723096654e-05,6.219798074848975,6.206789313817475,1.078125,1.078125,1.0794202089309692,1.671875,-0.201171875, |  | 깹 | 魔龙令牌 | ᘄ, cats |  twins |  girls | 两只 | 两大,0.5966386795043945,0.20168067514896393,0.9915966391563416
15,,2.8610207891688333e-07,1.1658716201782227,3.3398149555348633,3.316618109420718,1.078125,1.078125,1.0794202089309692,1.6875,-0.2158203125, |  | 깹 | 魔龙令牌 | 떪, cats |  twins |  girls |  chairs | 两大,0.6848739385604858,0.6134454011917114,0.756302535533905
16,,0.001034545130096376,9.104762284550816e-05,4.800540994528137,4.794745790968166,1.078125,1.078125,1.0794202089309692,1.703125,-0.23828125, |  | 깹 | 魔龙令牌 | 떪, cats |  twins |  girls | 两只 |  chairs,0.6092436909675598,0.22689075767993927,0.9915966391563416
17,,0.00042914232471957803,8.028299635043368e-05,0.03568033440727352,0.025250975290934244,1.078125,1.078125,1.0794202089309692,1.6953125,-0.23828125, |  | 깹 | 魔龙令牌 | 떪, cats |  twins |  girls | 两只 |  chairs,0.6134454011917114,0.23529411852359772,0.9915966391563416
18,,5.59990294277668e-05,0.0007256139651872218,0.029010731874101716,0.02066653420527776,1.078125,1.078125,1.0794202089309692,1.703125,-0.2392578125, |  | 깹 | 魔龙令牌 | 떪, cats |  twins |  girls | 两只 |  chairs,0.6554622054100037,0.3193277418613434,0.9915966391563416
19,,0.00013691130152437836,0.0008953554788604379,2.5348589670203183,2.3568484547373374,1.0859375,1.078125,1.0794202089309692,1.734375,-0.283203125, |  | 깹 | 魔龙令牌 | 떪, cats |  twins |  girls | 两只 | 两大,0.6932772994041443,0.40336135029792786,0.9831932783126831
