epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,3.1732356548309326,1.3452351093292236,55.25649061203003,50.88554382324219,1.4453125,1.4453125,1.4494974613189697,1.921875,0.1220703125, phones | 猫 |  dogs |  trees |  Dogs, dogs |  rats | trees |  beasts |  lords,0.5084033608436584,0.02521008439362049,0.9915966391563416
2,,0.3928655683994293,0.5352602601051331,50.2775390625,44.92552083333333,1.453125,1.4453125,1.4494974613189697,1.9140625,0.1298828125, phones | 猫 |  dogs |  [wugs] |  dog, dogs |  rats |  beasts | trees |  lords,0.5,0.1428571492433548,0.8571428656578064
3,,0.12441186606884003,0.3356953263282776,36.442708333333336,35.34375,1.453125,1.453125,1.4494974613189697,1.9140625,0.125, phones | 猫 |  dog |  dogs |  Dogs, dogs |  rats |  beasts |  lords | trees,0.5084033608436584,0.18487395346164703,0.831932783126831
4,,0.037367288023233414,0.6401124000549316,28.8853515625,26.729166666666668,1.453125,1.4453125,1.4494974613189697,1.921875,0.11962890625, dog | 猫 |  phones |  Dogs |  dogs, dogs |  rats |  birds | trees |  beasts,0.5378151535987854,0.2857142984867096,0.7899159789085388
5,,0.2669992744922638,0.08363963663578033,15.205598958333333,15.671354166666667,1.453125,1.453125,1.4494974613189697,1.9296875,0.11328125, dog | 猫 |  phones |  phone |  Dogs, dogs |  rats |  rabbits |  birds |  cats,0.5420168042182922,0.19327731430530548,0.8907563090324402
6,,0.2504822313785553,0.029254892840981483,19.932096354166667,19.630208333333332,1.4453125,1.453125,1.4494974613189697,1.9453125,0.10205078125, dog | 猫 |  phones |  phone |  Dogs, dogs |  rats |  rabbits |  cats |  birds,0.5462185144424438,0.16806723177433014,0.924369752407074
7,,0.12395236641168594,0.03723907098174095,14.747200520833333,14.476822916666666,1.453125,1.4453125,1.4494974613189697,1.9453125,0.0966796875, dog | 猫 |  phones |  phone |  Dogs, dogs |  rats |  rabbits |  cats |  birds,0.5588235259056091,0.20168067514896393,0.9159663915634155
8,,0.04272535443305969,0.06782422959804535,11.528483072916666,11.406510416666666,1.453125,1.453125,1.4494974613189697,1.9609375,0.08349609375, dog | 猫 |  phone |  phones |  Dogs, dogs |  rabbits |  rats |  birds |  cats,0.5714285969734192,0.22689075767993927,0.9159663915634155
9,,0.0010345772607252002,0.7304289937019348,9.037459309895834,8.950187174479167,1.453125,1.4453125,1.4494974613189697,1.9765625,0.0703125, dog | 猫 |  phone |  phones |  Dogs, dogs |  birds |  rats |  cats |  rabbits,0.6554622054100037,0.43697479367256165,0.8739495873451233
10,,0.0011210007360205054,0.6633991003036499,10.548177083333334,10.290060424804688,1.453125,1.4453125,1.4494974613189697,1.984375,0.0625, dog | 猫 |  phone |  kitten | 小狗, dogs |  birds |  cats |  rabbits |  rats,0.6764705777168274,0.45378151535987854,0.8991596698760986
11,,0.008233057335019112,0.1359962821006775,7.524434407552083,7.552640787760416,1.453125,1.453125,1.4494974613189697,2.0,0.0537109375, dog | 猫 |  phone | 小狗 |  kitten, dogs |  birds |  cats |  rabbits |  rats,0.6344537734985352,0.32773110270500183,0.9411764740943909
