epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.845115051651374,2.6963131427764893,0.022203678265213966,76.9124123652776,63.77584188779195,1.484375,1.4765625,1.4494974613189697,2.0,0.0908203125, dogs |  cars |  fence |  Door |  girls, cats |  trees |  chairs |  dogs |  birds,0.605042040348053,0.2689075767993927,0.9411764740943909
2,1.1775313181421856,0.005273702088743448,1.9634709358215332,34.54099884033203,30.358691279093424,1.5078125,1.4765625,1.4494974613189697,2.015625,0.0888671875, dogs |  fence |  cars |  dog |  doe, cats |  trees |  chairs |  dogs |  birds,0.7899159789085388,0.8235294222831726,0.756302535533905
3,0.923188604690741,1.6560304164886475,0.001680855406448245,17.834103511087598,17.941488615671794,1.5078125,1.4921875,1.4494974613189697,2.03125,0.0849609375, dogs |  fence |  cars |  Door |  doe, cats |  trees |  chairs |  dogs |  birds,0.7689075469970703,0.5798319578170776,0.9579831957817078
4,1.081103727306739,0.8069460391998291,0.004864830989390612,27.505007376273472,27.80414802233378,1.515625,1.4921875,1.4494974613189697,2.046875,0.07666015625, dogs |  fence |  cars |  Door |  dog, cats |  trees |  chairs |  dogs |  birds,0.8907563090324402,0.8235294222831726,0.9579831957817078
5,1.1043954337657396,0.6176397204399109,0.009969559498131275,22.73773283486565,22.698498809337615,1.515625,1.4921875,1.4494974613189697,2.046875,0.07373046875, dogs |  fence |  dog |  Door |  woman, cats |  chairs |  trees |  dogs |  birds,0.8991596698760986,0.8235294222831726,0.9747899174690247
6,1.543643030633901,0.42978084087371826,0.025714395567774773,29.509096172948677,29.452180869380634,1.515625,1.4921875,1.4494974613189697,2.046875,0.07275390625, dogs |  fence |  dog |  Door |  woman, cats |  chairs |  trees |  dogs |  birds,0.9117646813392639,0.848739504814148,0.9747899174690247
7,1.023680487290604,0.8547870516777039,0.003037557937204838,24.90952904522419,24.985443178812663,1.5234375,1.5,1.4494974613189697,2.078125,0.06298828125, dogs |  fence |  dog |  Door |  woman, cats |  trees |  chairs |  dogs |  birds,0.9033613204956055,0.8571428656578064,0.9495798349380493
8,1.2227788884015713,6.73215399729088e-05,2.207467555999756,26.236771140620114,26.21087167461713,1.5390625,1.4921875,1.4494974613189697,2.078125,0.060546875, dogs |  fence |  dog |  woman |  Door, cats |  chairs |  trees |  dogs |  birds,0.9159663915634155,0.9495798349380493,0.8823529481887817
9,0.36537670324798344,1.4520714282989502,0.00027029693592339754,5.614589997932004,5.566651360193888,1.53125,1.5078125,1.4494974613189697,2.078125,0.057861328125, dogs |  fence |  dog |  Door |  door, cats |  trees |  chairs |  dogs |  birds,0.9075630307197571,0.831932783126831,0.9831932783126831
10,0.9068871699132567,1.56001333380118e-05,2.803297996520996,15.753983015722286,15.745941038926443,1.546875,1.4921875,1.4494974613189697,2.09375,0.05419921875, dogs |  fence |  dog |  woman |  Door, cats |  chairs |  trees |  dogs |  birds,0.9201680421829224,0.9663865566253662,0.8739495873451233
11,1.1633289691471758,0.8542855381965637,0.0029321860056370497,16.867175238144895,16.86821234896779,1.53125,1.5078125,1.4494974613189697,2.09375,0.05615234375, dogs |  fence |  dog |  Door |  woman, cats |  trees |  chairs |  dogs |  birds,0.9117646813392639,0.848739504814148,0.9747899174690247
12,0.79336632056594,4.5700293412664905e-05,2.6259472370147705,16.762516734935343,16.83438803354899,1.546875,1.5,1.4494974613189697,2.09375,0.05078125, fence |  dogs |  dog |  woman |  door, cats |  chairs |  trees |  dogs |  birds,0.924369752407074,0.9327731132507324,0.9159663915634155
13,1.521547223877594,1.0557467937469482,0.0010709302732720971,25.89687982876009,25.878719304998715,1.53125,1.5078125,1.4494974613189697,2.09375,0.053466796875, fence |  dogs |  dog |  Door |  woman, cats |  trees |  chairs |  dogs |  birds,0.894957959651947,0.7983193397521973,0.9915966391563416
14,1.0393977002335968,1.10414719581604,0.0008407451095990837,20.895547290643055,20.87446521917979,1.5390625,1.5078125,1.4494974613189697,2.09375,0.051513671875, dogs |  fence |  dog |  Door |  woman, cats |  trees |  chairs |  dogs |  birds,0.9033613204956055,0.8151260614395142,0.9915966391563416
15,1.29261639743951,8.333515870617703e-05,1.8504295349121094,25.854516653181054,25.86368892590205,1.546875,1.5,1.4494974613189697,2.109375,0.050048828125, fence |  dogs |  dog |  woman |  Door, cats |  trees |  chairs |  dogs |  birds,0.924369752407074,0.9075630307197571,0.9411764740943909
16,0.5963089265380764,1.3581728126155213e-05,2.2534987926483154,11.048162424564362,10.971407466630142,1.5625,1.5,1.4494974613189697,2.125,0.0419921875, fence |  dogs |  dog |  woman |  door, cats |  trees |  chairs |  dogs |  birds,0.9285714030265808,0.9579831957817078,0.8991596698760986
