type,sentence
singular,A [wug].
singular,Just one [wug].
singular,That looks like a [wug].
singular,I found a [wug].
singular,Here is a [wug].
singular,The [wug] doesn't move when you approach it.
singular,A [wug] was spotted by a hiker this morning.
singular,There is a [wug] hiding behind the rock.
singular,The ranger carefully photographed the [wug].
singular,Sitting on the ledge was a tiny [wug].
singular,No one had ever seen a [wug] this close before.
singular,The [wug] has been sleeping all afternoon.
singular,I think the [wug] knows we are watching it.
singular,Near the pond rested a single [wug].
singular,The child pointed at the [wug] on the fence.
plural,Many [wugs].
plural,Three [wugs].
plural,I can see [wugs].
plural,Those are all [wugs].
plural,Here are some [wugs].
plural,The [wugs] don't move when you approach them.
plural,Some [wugs] were spotted by a hiker this morning.
plural,There are [wugs] hiding behind the rock.
plural,The ranger carefully photographed the [wugs].
plural,Sitting on the ledge were several tiny [wugs].
plural,No one had ever seen so many [wugs] this close before.
plural,The [wugs] have been sleeping all afternoon.
plural,I think the [wugs] know we are watching them.
plural,Near the pond rested a group of [wugs].
plural,The children pointed at the [wugs] on the fence.
