token_a,token_b,distance
cat,cats,1.1640625
dog,dogs,1.0
bird,birds,0.9609375
bear,bears,1.078125
rat,rats,1.140625
tree,trees,0.95703125
word,words,1.375
thing,things,1.171875
car,cars,1.1328125
house,houses,1.0625
rock,rocks,1.1015625
chair,chairs,1.03125
table,tables,1.0625
cup,cups,1.109375
book,books,1.03125
phone,phones,1.0390625
man,men,1.7421875
woman,women,1.0
child,children,1.15625
person,people,1.5234375
door,doors,1.1171875
gate,gates,1.0234375
fence,fences,1.09375
pond,ponds,1.1171875
lamp,lamps,1.0390625
corner,corners,1.1796875
path,paths,0.98828125
wall,walls,1.1015625
