epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.7136986255645752,0.00510740140452981,44.92471249898275,50.927117919921876,1.078125,1.078125,1.0794202089309692,1.4453125,0.10400390625, trees |  |  | 𥕢 | 삠, |  | ퟰ | 퓬 | 왤,0.4957983195781708,0.016806723549962044,0.9747899174690247
2,,1.8913660049438477,7.872378046158701e-05,37.262115414937334,36.021708170572914,1.078125,1.078125,1.0794202089309692,1.4765625,0.064453125, |  |  trees | 𥕢 | 삠, |  | ퟰ | 곂 |  cats,0.5042017102241516,0.016806723549962044,0.9915966391563416
3,,0.5124214887619019,0.00010266089520882815,30.678618105252585,30.451096630096437,1.078125,1.078125,1.0794202089309692,1.5078125,0.0224609375, |  | 𥕢 |  trees | 삠, |  |  cats |  dogs | ퟰ,0.5336134433746338,0.07563025504350662,0.9915966391563416
4,,0.00402878737077117,0.0038529958110302687,5.138944591085116,4.637621275583903,1.078125,1.078125,1.0794202089309692,1.515625,0.0042724609375, |  | 𥕢 | 빻 | 벋, |  |  dogs |  cats |  phones,0.6890756487846375,0.3949579894542694,0.9831932783126831
5,,0.00036477003595791757,0.10250169038772583,7.525582917531332,7.4100314024835825,1.078125,1.078125,1.0794202089309692,1.5703125,-0.05810546875, |  | 𥕢 | 빻 | 벋, |  |  dogs |  cats |  phones,0.7521008253097534,0.5210084319114685,0.9831932783126831
6,,0.16367945075035095,0.00043956507579423487,6.860377312699954,6.544159378608068,1.078125,1.078125,1.0794202089309692,1.6015625,-0.10205078125, |  | 빻 | 𥕢 | ᶘ, cats |  dogs |  |  |  phones,0.7100840210914612,0.4285714328289032,0.9915966391563416
7,,0.00218647881411016,0.001885004574432969,11.571784710884094,11.518799781799316,1.078125,1.078125,1.0794202089309692,1.6171875,-0.12890625, |  |  dragon | 빻 | 𥕢, cats |  dogs |  phones |  | ,0.7815126180648804,0.5714285969734192,0.9915966391563416
8,,0.0027166116051375866,0.0006014632526785135,0.22597126166025797,0.1976200739542643,1.078125,1.078125,1.0794202089309692,1.625,-0.130859375, |  |  dragon | 빻 | 𥕢, cats |  dogs |  |  phones | ,0.7731092572212219,0.5546218752861023,0.9915966391563416
9,,0.0001296113186981529,0.027133187279105186,0.28354620933532715,0.24568908413251242,1.078125,1.078125,1.0794202089309692,1.6328125,-0.1396484375, |  |  dragon | 빻 | 𥕢, cats |  dogs |  phones | 两只 | ,0.7983193397521973,0.6302521228790283,0.9663865566253662
10,,0.0003083375340793282,0.0005887541337870061,6.255664841240892,6.252710235118866,1.078125,1.078125,1.0794202089309692,1.6640625,-0.1865234375, |  |  dragon | 𥕢 | 빻, cats |  dogs | 两只 |  phones |  birds,0.7941176295280457,0.605042040348053,0.9831932783126831
11,,0.00039160941378213465,0.0011176362168043852,0.14771329363187155,0.14641234775384268,1.078125,1.078125,1.0794202089309692,1.6640625,-0.189453125, |  |  dragon | 𥕢 | 빻, cats |  dogs | 两只 |  phones |  birds,0.7899159789085388,0.5966386795043945,0.9831932783126831
12,,0.00012782397971022874,0.0020781962666660547,0.09730611443519592,0.09104153265555699,1.078125,1.078125,1.0794202089309692,1.671875,-0.1943359375, |  |  dragon | 𥕢 | 빻, cats |  dogs | 两只 |  phones |  birds,0.7983193397521973,0.6302521228790283,0.9663865566253662
13,,0.0009195846505463123,7.080916111590341e-05,0.08444103747606277,0.07695023367802302,1.078125,1.078125,1.0794202089309692,1.6796875,-0.2109375, dragon |  |  | dragon | 𥕢, cats | 两只 |  dogs |  phones | .two,0.7647058963775635,0.5546218752861023,0.9747899174690247
14,,1.6938993212534115e-05,0.007018526084721088,0.4632907554041594,0.43536419526984294,1.078125,1.078125,1.0794202089309692,1.734375,-0.291015625, dragon | dragon |  |  | 𥕢, cats | 两只 |  dogs | .two |  birds,0.8151260614395142,0.6722689270973206,0.9579831957817078
15,,0.0002706483064685017,0.00022756474209018052,1.0492440686878732,1.0019938878715038,1.078125,1.078125,1.0794202089309692,1.7578125,-0.326171875, dragon | dragon |  |  |  Dragon, cats | 两只 | .two |  dogs |  birds,0.756302535533905,0.5378151535987854,0.9747899174690247
16,,0.00010274954547639936,0.00022869696840643883,0.018029937023917832,0.01441499317685763,1.078125,1.078125,1.0794202089309692,1.7578125,-0.322265625, dragon | dragon |  |  |  Dragon, cats | 两只 | .two |  dogs |  birds,0.7521008253097534,0.5378151535987854,0.9663865566253662
17,,3.6119843116466654e-06,0.9656890630722046,0.15530198115545016,0.1451644712438186,1.078125,1.078125,1.0794202089309692,1.7734375,-0.3515625, dragon | dragon |  |  | 𥕢,两只 |  cats | .two |  birds |  dogs,0.7268907427787781,0.5630252361297607,0.8907563090324402
18,,7.772339813527651e-06,0.0014567640610039234,6.5029765824477455,6.526097870595367,1.078125,1.078125,1.0794202089309692,1.8125,-0.408203125, dragon | dragon |  Dragon | 🐲 | 🐉,两只 | .two |  двух |  cats |  deux,0.8277310729026794,0.7058823704719543,0.9495798349380493
