epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.0250886678695679,2.4226908683776855,59.53018798828125,52.66920878092448,1.4453125,1.4453125,1.4494974613189697,1.9140625,0.130859375, Door |  walls | _door |  mosques |  door, walls |  dogs |  birds |  wall |  pets,0.43884891271591187,0.8345323801040649,0.04316546767950058
2,,0.4265681803226471,0.7874165773391724,52.87916666666667,43.94140625,1.453125,1.453125,1.4494974613189697,1.90625,0.1337890625, Door |  walls | _door |  mosques |  door, dogs |  walls |  birds |  wall |  pets,0.4208633005619049,0.7050359845161438,0.1366906464099884
3,,0.3928794860839844,0.29093846678733826,45.235416666666666,41.4625,1.453125,1.4453125,1.4494974613189697,1.9140625,0.130859375, Door |  walls | _door |  door |  mosques, dogs |  walls |  birds |  pets |  wall,0.42805755138397217,0.6474820375442505,0.20863309502601624
4,,0.4470180571079254,0.15104423463344574,32.88229166666667,31.713020833333335,1.453125,1.4453125,1.4494974613189697,1.9140625,0.1279296875, Door |  walls | _door |  door |  mosques, dogs |  walls |  birds |  pets |  cats,0.4316546618938446,0.6258992552757263,0.2374100685119629
5,,0.42122015357017517,0.07639390230178833,27.116145833333334,26.413541666666667,1.453125,1.453125,1.4494974613189697,1.9140625,0.1240234375, Door |  walls | _door |  door |  mosques, dogs |  walls |  birds |  cats |  pets,0.43884891271591187,0.6402877569198608,0.2374100685119629
6,,0.36589285731315613,0.05851273611187935,21.7234375,21.445052083333334,1.453125,1.453125,1.4494974613189697,1.9296875,0.11767578125, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  animals,0.49640288949012756,0.6762589812278748,0.316546767950058
7,,0.030545735731720924,0.3783337473869324,14.45703125,14.482552083333333,1.453125,1.453125,1.4494974613189697,1.9296875,0.1142578125, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  animals,0.5323740839958191,0.7482014298439026,0.316546767950058
8,,0.0553019642829895,0.23182383179664612,16.6828125,16.3986328125,1.453125,1.4453125,1.4494974613189697,1.9375,0.10888671875, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  animals,0.5251798629760742,0.6834532618522644,0.36690646409988403
9,,0.3995218873023987,0.011667417362332344,7.83359375,7.499283854166666,1.453125,1.453125,1.4494974613189697,1.9453125,0.10205078125, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  animals,0.5071942210197449,0.5827338099479675,0.4316546618938446
10,,0.04107072204351425,0.11246728897094727,12.11533203125,12.203011067708333,1.4453125,1.4453125,1.4494974613189697,1.9453125,0.09716796875, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  animals,0.568345308303833,0.6618704795837402,0.4748201370239258
11,,0.18334606289863586,0.019993998110294342,8.409895833333334,8.376106770833333,1.453125,1.453125,1.4494974613189697,1.953125,0.0908203125, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  animals,0.5575539469718933,0.5899280309677124,0.5251798629760742
12,,0.031158313155174255,0.11715377867221832,11.335546875,11.309407552083334,1.4453125,1.4453125,1.4494974613189697,1.9609375,0.0869140625, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  animals,0.5791366696357727,0.6258992552757263,0.5323740839958191
13,,0.1300525814294815,0.020999442785978317,7.412923177083333,7.427994791666666,1.453125,1.453125,1.4494974613189697,1.96875,0.08056640625, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  animals,0.597122311592102,0.5827338099479675,0.6115108132362366
14,,0.04375651478767395,0.03740318492054939,9.443896484375,9.314485677083333,1.453125,1.453125,1.4494974613189697,1.96875,0.076171875, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  pets,0.6043165326118469,0.597122311592102,0.6115108132362366
15,,0.025542903691530228,0.09335027635097504,7.843001302083334,7.874772135416666,1.453125,1.453125,1.4494974613189697,1.9765625,0.07177734375, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  animals,0.6187050342559814,0.6043165326118469,0.633093535900116
16,,0.04024006798863411,0.034872762858867645,6.25576171875,6.171053059895834,1.453125,1.453125,1.4494974613189697,1.984375,0.06396484375, Door |  walls | _door |  door | Door, dogs |  birds |  cats |  walls |  dolls,0.6079136729240417,0.568345308303833,0.6474820375442505
17,,0.07536648213863373,0.014774173498153687,7.661612955729167,7.645442708333333,1.4453125,1.453125,1.4494974613189697,1.9921875,0.05712890625, Door |  walls | _door |  door | Door, dogs |  birds |  cats |  walls |  dolls,0.6115108132362366,0.5323740839958191,0.6906474828720093
18,,0.011572715826332569,0.09856079518795013,5.0763671875,5.021484375,1.453125,1.4453125,1.4494974613189697,1.9921875,0.0537109375, Door |  walls | _door |  door | Door, dogs |  birds |  cats |  walls |  cars,0.6402877569198608,0.597122311592102,0.6834532618522644
