split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,7,1,The nervous chick past the screws,The nervous chicks past the screw,-8.88097858428955,-10.63097858428955,-8.381706237792969,-7.944206714630127,-8.38830280303955,-8.07580280303955,
train,1,7,1,The nervous chicks past the screw,The nervous chick past the screws,-7.944206714630127,-8.381706237792969,-10.63097858428955,-8.88097858428955,-10.25678539276123,-8.50678539276123,
train,0,7,1,The sleepy rabbit beneath the milestones,The sleepy rabbits beneath the milestone,-11.247800827026367,-14.747800827026367,-13.59952449798584,-9.47452449798584,-13.527787208557129,-9.465287208557129,
train,1,7,1,The sleepy rabbits beneath the milestone,The sleepy rabbit beneath the milestones,-9.47452449798584,-13.59952449798584,-14.747800827026367,-11.247800827026367,-14.806907653808594,-11.369407653808594,
train,0,7,1,The sleepy bat beneath the boilers,The sleepy bats beneath the boiler,-3.892585515975952,-9.580085754394531,-6.661922931671143,-2.4119229316711426,-6.5923357009887695,-2.4048359394073486,
train,1,7,1,The sleepy bats beneath the boiler,The sleepy bat beneath the boilers,-2.4119229316711426,-6.661922931671143,-9.580085754394531,-3.892585515975952,-9.238890647888184,-3.6763904094696045,
train,0,7,1,The sleepy lion beneath the boilers,The sleepy lions beneath the boiler,-4.922474384307861,-10.48497486114502,-7.479027271270752,-3.354027271270752,-7.54255485534668,-3.3550548553466797,
train,1,7,1,The sleepy lions beneath the boiler,The sleepy lion beneath the boilers,-3.354027271270752,-7.479027271270752,-10.48497486114502,-4.922474384307861,-10.422930717468262,-4.92293119430542,
train,0,7,1,The quiet shark outside the clocks,The quiet sharks outside the clock,-6.313762187957764,-7.813762187957764,-8.562893867492676,-6.812894344329834,-8.4484224319458,-6.823422431945801,
train,1,7,1,The quiet sharks outside the clock,The quiet shark outside the clocks,-6.812894344329834,-8.562893867492676,-7.813762187957764,-6.313762187957764,-7.820963382720947,-6.320963382720947,
train,0,7,1,The calm dog outside the houses,The calm dogs outside the house,-4.822725772857666,-8.447726249694824,-5.8468098640441895,-2.8468096256256104,-5.882502555847168,-2.757502794265747,
train,1,7,1,The calm dogs outside the house,The calm dog outside the houses,-2.8468096256256104,-5.8468098640441895,-8.447726249694824,-4.822725772857666,-8.327451705932617,-4.702451705932617,
train,0,7,1,The slender pup behind the bolts,The slender pups behind the bolt,-12.91908073425293,-14.60658073425293,-15.025748252868652,-11.025748252868652,-15.064956665039062,-11.002456665039062,
train,1,7,1,The slender pups behind the bolt,The slender pup behind the bolts,-11.025748252868652,-15.025748252868652,-14.60658073425293,-12.91908073425293,-14.42629623413086,-12.73879623413086,
train,0,7,1,The small frog around the tanks,The small frogs around the tank,-5.815065383911133,-8.565065383911133,-7.173422813415527,-1.4234225749969482,-7.1710991859436035,-1.4210991859436035,
train,1,7,1,The small frogs around the tank,The small frog around the tanks,-1.4234225749969482,-7.173422813415527,-8.565065383911133,-5.815065383911133,-8.445378303527832,-5.695378303527832,
train,0,7,1,The fuzzy panda outside the pots,The fuzzy pandas outside the pot,-4.113760471343994,-7.613760471343994,-5.331340789794922,-3.331340789794922,-5.332141399383545,-3.332141399383545,
train,1,7,1,The fuzzy pandas outside the pot,The fuzzy panda outside the pots,-3.331340789794922,-5.331340789794922,-7.613760471343994,-4.113760471343994,-7.491607666015625,-4.116607666015625,
train,0,7,1,The small panda behind the bolts,The small pandas behind the bolt,-5.656261920928955,-10.093762397766113,-7.842160701751709,-4.967160701751709,-7.965808391571045,-5.090808391571045,
train,1,7,1,The small pandas behind the bolt,The small panda behind the bolts,-4.967160701751709,-7.842160701751709,-10.093762397766113,-5.656261920928955,-10.21385383605957,-5.90135383605957,
train,0,7,1,The quiet turtle around the dams,The quiet turtles around the dam,-5.583403587341309,-7.708403587341309,-7.725087642669678,-2.1625876426696777,-7.798259735107422,-2.110759735107422,
train,1,7,1,The quiet turtles around the dam,The quiet turtle around the dams,-2.1625876426696777,-7.725087642669678,-7.708403587341309,-5.583403587341309,-7.592020511627197,-5.467020511627197,
train,0,7,1,The nervous dog around the benches,The nervous dogs around the bench,-6.431293487548828,-8.681293487548828,-6.876457214355469,-2.6264569759368896,-6.851226806640625,-2.726226806640625,
train,1,7,1,The nervous dogs around the bench,The nervous dog around the benches,-2.6264569759368896,-6.876457214355469,-8.681293487548828,-6.431293487548828,-8.685701370239258,-6.4357008934021,
train,0,7,1,The sleepy kitten beneath the logs,The sleepy kittens beneath the log,-4.5879807472229,-10.837981224060059,-8.00868034362793,-4.2586798667907715,-8.005537986755371,-4.255537986755371,
train,1,7,1,The sleepy kittens beneath the log,The sleepy kitten beneath the logs,-4.2586798667907715,-8.00868034362793,-10.837981224060059,-4.5879807472229,-10.780072212219238,-4.5925726890563965,
train,0,7,1,The quiet monitor beneath the chains,The quiet monitors beneath the chain,-5.5822834968566895,-10.144783020019531,-5.194453239440918,-4.944453239440918,-5.1119465827941895,-4.9869465827941895,
train,1,7,1,The quiet monitors beneath the chain,The quiet monitor beneath the chains,-4.944453239440918,-5.194453239440918,-10.144783020019531,-5.5822834968566895,-10.029666900634766,-5.467166900634766,
train,0,7,1,The small panda past the vines,The small pandas past the vine,-15.825640678405762,-18.075641632080078,-15.495870590209961,-14.558370590209961,-15.491711616516113,-14.491711616516113,
train,1,7,1,The small pandas past the vine,The small panda past the vines,-14.558370590209961,-15.495870590209961,-18.075641632080078,-15.825640678405762,-18.013046264648438,-16.013046264648438,
train,0,7,1,The timid kitten outside the towers,The timid kittens outside the tower,-4.541837215423584,-9.729337692260742,-7.768908500671387,-2.4564085006713867,-7.77473783493042,-2.462238073348999,
train,1,7,1,The timid kittens outside the tower,The timid kitten outside the towers,-2.4564085006713867,-7.768908500671387,-9.729337692260742,-4.541837215423584,-9.725831031799316,-4.538331508636475,
train,0,7,1,The sleepy frog behind the valves,The sleepy frogs behind the valve,-4.5123209953308105,-8.949820518493652,-7.0294647216796875,-2.7169649600982666,-6.964461326599121,-2.651961326599121,
train,1,7,1,The sleepy frogs behind the valve,The sleepy frog behind the valves,-2.7169649600982666,-7.0294647216796875,-8.949820518493652,-4.5123209953308105,-9.050891876220703,-4.738392353057861,
train,0,7,1,The sleepy monitor around the belts,The sleepy monitors around the belt,-6.535492420196533,-7.785492420196533,-7.918105602264404,-2.8556056022644043,-7.90209436416626,-2.9020943641662598,
train,1,7,1,The sleepy monitors around the belt,The sleepy monitor around the belts,-2.8556056022644043,-7.918105602264404,-7.785492420196533,-6.535492420196533,-7.665192127227783,-6.415192127227783,
train,0,7,1,The timid pup around the benches,The timid pups around the bench,-13.826068878173828,-16.576068878173828,-14.26769733428955,-10.58019733428955,-14.199202537536621,-10.511702537536621,
train,1,7,1,The timid pups around the bench,The timid pup around the benches,-10.58019733428955,-14.26769733428955,-16.576068878173828,-13.826068878173828,-16.639141082763672,-13.920391082763672,
train,0,7,1,The quiet monitor outside the towers,The quiet monitors outside the tower,-4.583548069000244,-9.583548545837402,-7.1551032066345215,-2.2801032066345215,-7.165307998657227,-2.2903077602386475,
train,1,7,1,The quiet monitors outside the tower,The quiet monitor outside the towers,-2.2801032066345215,-7.1551032066345215,-9.583548545837402,-4.583548069000244,-9.538666725158691,-4.476166725158691,
train,0,7,1,The calm cow around the walls,The calm cows around the wall,-6.546535015106201,-9.04653549194336,-6.446464538574219,-3.321464776992798,-6.539153575897217,-3.2891533374786377,
train,1,7,1,The calm cows around the wall,The calm cow around the walls,-3.321464776992798,-6.446464538574219,-9.04653549194336,-6.546535015106201,-9.04232120513916,-6.667321681976318,
train,0,7,1,The fuzzy lion behind the valves,The fuzzy lions behind the valve,-5.647969722747803,-10.335470199584961,-7.009347438812256,-3.884347438812256,-7.006241798400879,-3.881241798400879,
train,1,7,1,The fuzzy lions behind the valve,The fuzzy lion behind the valves,-3.884347438812256,-7.009347438812256,-10.335470199584961,-5.647969722747803,-10.150794982910156,-5.525794982910156,
train,0,7,1,The small frog behind the crates,The small frogs behind the crate,-2.955705404281616,-8.830705642700195,-6.426192283630371,-1.4261925220489502,-6.403372287750244,-1.5283721685409546,
train,1,7,1,The small frogs behind the crate,The small frog behind the crates,-1.4261925220489502,-6.426192283630371,-8.830705642700195,-2.955705404281616,-8.780912399291992,-2.843412399291992,
train,0,7,1,The calm whale outside the benches,The calm whales outside the bench,-4.273836612701416,-8.023837089538574,-6.265903472900391,-3.5159032344818115,-6.365684986114502,-3.615684986114502,
train,1,7,1,The calm whales outside the bench,The calm whale outside the benches,-3.5159032344818115,-6.265903472900391,-8.023837089538574,-4.273836612701416,-8.037849426269531,-4.162848949432373,
train,0,7,1,The slender monitor around the carts,The slender monitors around the cart,-2.875576972961426,-6.000576972961426,-8.054037094116211,-1.3665375709533691,-7.984748840332031,-1.2972490787506104,
train,1,7,1,The slender monitors around the cart,The slender monitor around the carts,-1.3665375709533691,-8.054037094116211,-6.000576972961426,-2.875576972961426,-5.914527416229248,-2.789527654647827,
train,0,7,1,The nervous rat outside the clocks,The nervous rats outside the clock,-7.760507583618164,-9.510507583618164,-8.48820686340332,-5.113206386566162,-8.366267204284668,-5.11626672744751,
train,1,7,1,The nervous rats outside the clock,The nervous rat outside the clocks,-5.113206386566162,-8.48820686340332,-9.510507583618164,-7.760507583618164,-9.386584281921387,-7.636584758758545,
train,0,7,1,The quiet shark past the plants,The quiet sharks past the plant,-17.31805992126465,-18.63055992126465,-17.0849666595459,-16.0849666595459,-16.963043212890625,-15.963043212890625,
train,1,7,1,The quiet sharks past the plant,The quiet shark past the plants,-16.0849666595459,-17.0849666595459,-18.63055992126465,-17.31805992126465,-18.879825592041016,-17.379825592041016,
train,0,7,1,The bright kitten past the signs,The bright kittens past the sign,-9.506747245788574,-11.194247245788574,-9.158867835998535,-7.783867359161377,-9.158384323120117,-8.158384323120117,
train,1,7,1,The bright kittens past the sign,The bright kitten past the signs,-7.783867359161377,-9.158867835998535,-11.194247245788574,-9.506747245788574,-10.75805950164795,-8.88305950164795,
train,0,7,1,The quiet dog around the dams,The quiet dogs around the dam,-5.455610752105713,-7.580610752105713,-7.457016468048096,-3.2070164680480957,-7.53816032409668,-3.2881603240966797,
train,1,7,1,The quiet dogs around the dam,The quiet dog around the dams,-3.2070164680480957,-7.457016468048096,-7.580610752105713,-5.455610752105713,-7.5819830894470215,-5.4569830894470215,
train,0,7,1,The small frog outside the windows,The small frogs outside the window,-10.845329284667969,-12.907829284667969,-14.654144287109375,-11.091644287109375,-14.80678939819336,-11.18178939819336,
train,1,7,1,The small frogs outside the window,The small frog outside the windows,-11.091644287109375,-14.654144287109375,-12.907829284667969,-10.845329284667969,-12.829705238342285,-10.829705238342285,
train,0,7,1,The small whale outside the stools,The small whales outside the stool,-15.095656394958496,-17.40815544128418,-16.780696868896484,-14.218196868896484,-16.665836334228516,-14.1033353805542,
train,1,7,1,The small whales outside the stool,The small whale outside the stools,-14.218196868896484,-16.780696868896484,-17.40815544128418,-15.095656394958496,-17.4079532623291,-15.032952308654785,
train,0,7,1,The nervous frog beneath the chains,The nervous frogs beneath the chain,-14.77454948425293,-16.27454948425293,-11.247264862060547,-10.872264862060547,-11.246438026428223,-10.871438026428223,
train,1,7,1,The nervous frogs beneath the chain,The nervous frog beneath the chains,-10.872264862060547,-11.247264862060547,-16.27454948425293,-14.77454948425293,-15.904340744018555,-14.529340744018555,
train,0,7,1,The calm monitor beneath the barrels,The calm monitors beneath the barrel,-4.013620853424072,-9.451120376586914,-6.030908107757568,-3.7809081077575684,-6.122643947601318,-3.7476439476013184,
train,1,7,1,The calm monitors beneath the barrel,The calm monitor beneath the barrels,-3.7809081077575684,-6.030908107757568,-9.451120376586914,-4.013620853424072,-9.39977741241455,-4.024777889251709,
train,0,7,1,The fuzzy chick outside the drums,The fuzzy chicks outside the drum,-7.00900411605835,-9.759004592895508,-4.825697898864746,-3.075697898864746,-4.820008277893066,-3.0700080394744873,
train,1,7,1,The fuzzy chicks outside the drum,The fuzzy chick outside the drums,-3.075697898864746,-4.825697898864746,-9.759004592895508,-7.00900411605835,-9.759385108947754,-7.009385108947754,
train,0,7,1,The small kit around the walls,The small kits around the wall,-3.44754958152771,-6.197549819946289,-6.085215091705322,-3.460214853286743,-6.07884407043457,-3.453843832015991,
train,1,7,1,The small kits around the wall,The small kit around the walls,-3.460214853286743,-6.085215091705322,-6.197549819946289,-3.44754958152771,-6.198607444763184,-3.4486074447631836,
train,0,7,1,The calm kitten beneath the boxes,The calm kittens beneath the box,-7.058909893035889,-12.121410369873047,-9.532443046569824,-6.782443046569824,-9.503133773803711,-6.753134250640869,
train,1,7,1,The calm kittens beneath the box,The calm kitten beneath the boxes,-6.782443046569824,-9.532443046569824,-12.121410369873047,-7.058909893035889,-12.00156021118164,-6.939060688018799,
train,0,7,1,The timid rat outside the tables,The timid rats outside the table,-11.827234268188477,-13.952234268188477,-14.661615371704102,-9.849115371704102,-14.63142204284668,-9.81892204284668,
train,1,7,1,The timid rats outside the table,The timid rat outside the tables,-9.849115371704102,-14.661615371704102,-13.952234268188477,-11.827234268188477,-13.801046371459961,-11.801046371459961,
train,0,7,1,The fuzzy panda outside the cabins,The fuzzy pandas outside the cabin,-11.410350799560547,-13.660350799560547,-14.206202507019043,-10.893702507019043,-14.139666557312012,-10.952166557312012,
train,1,7,1,The fuzzy pandas outside the cabin,The fuzzy panda outside the cabins,-10.893702507019043,-14.206202507019043,-13.660350799560547,-11.410350799560547,-13.718077659606934,-11.405577659606934,
train,0,7,1,The calm lion around the tanks,The calm lions around the tank,-5.109830379486084,-8.984830856323242,-6.6674370765686035,-2.0424370765686035,-6.651414394378662,-2.026414394378662,
train,1,7,1,The calm lions around the tank,The calm lion around the tanks,-2.0424370765686035,-6.6674370765686035,-8.984830856323242,-5.109830379486084,-8.873079299926758,-4.998079776763916,
train,0,7,1,The timid chick beneath the chains,The timid chicks beneath the chain,-5.816544055938721,-9.129043579101562,-6.851230621337891,-4.538730621337891,-6.91856575012207,-4.60606575012207,
train,1,7,1,The timid chicks beneath the chain,The timid chick beneath the chains,-4.538730621337891,-6.851230621337891,-9.129043579101562,-5.816544055938721,-9.012027740478516,-5.699528217315674,
train,0,7,1,The timid rabbit outside the tables,The timid rabbits outside the table,-13.286598205566406,-16.099098205566406,-15.902105331420898,-15.464605331420898,-15.91268539428711,-15.41268539428711,
train,1,7,1,The timid rabbits outside the table,The timid rabbit outside the tables,-15.464605331420898,-15.902105331420898,-16.099098205566406,-13.286598205566406,-16.100894927978516,-13.288394927978516,
train,0,7,1,The calm doe beneath the boxes,The calm does beneath the box,-14.287683486938477,-16.850183486938477,-14.37192153930664,-13.55942153930664,-14.37336540222168,-13.49836540222168,
train,1,7,1,The calm does beneath the box,The calm doe beneath the boxes,-13.55942153930664,-14.37192153930664,-16.850183486938477,-14.287683486938477,-16.849958419799805,-14.224959373474121,
train,0,7,1,The nervous cow behind the rocks,The nervous cows behind the rock,-14.130138397216797,-16.755138397216797,-16.213125228881836,-13.025626182556152,-16.21662139892578,-13.029122352600098,
train,1,7,1,The nervous cows behind the rock,The nervous cow behind the rocks,-13.025626182556152,-16.213125228881836,-16.755138397216797,-14.130138397216797,-16.754905700683594,-14.067405700683594,
train,0,7,1,The sleepy cock behind the cabins,The sleepy cocks behind the cabin,-6.781697750091553,-9.281697273254395,-7.793972969055176,-5.543972969055176,-7.803711891174316,-5.553711891174316,
train,1,7,1,The sleepy cocks behind the cabin,The sleepy cock behind the cabins,-5.543972969055176,-7.793972969055176,-9.281697273254395,-6.781697750091553,-9.158268928527832,-6.783268928527832,
train,0,7,1,The sleepy chick around the stools,The sleepy chicks around the stool,-14.327434539794922,-16.014934539794922,-14.394658088684082,-12.207158088684082,-14.451419830322266,-12.263919830322266,
train,1,7,1,The sleepy chicks around the stool,The sleepy chick around the stools,-12.207158088684082,-14.394658088684082,-16.014934539794922,-14.327434539794922,-15.830090522766113,-14.080090522766113,
train,0,7,1,The quiet rat beneath the columns,The quiet rats beneath the column,-6.180700778961182,-11.55570125579834,-9.113127708435059,-4.988127708435059,-9.116598129272461,-4.991598606109619,
train,1,7,1,The quiet rats beneath the column,The quiet rat beneath the columns,-4.988127708435059,-9.113127708435059,-11.55570125579834,-6.180700778961182,-11.673681259155273,-6.298680782318115,
train,0,7,1,The slender turtle past the vines,The slender turtles past the vine,-8.759099960327148,-12.009099960327148,-7.520978927612305,-5.958478927612305,-7.483471870422363,-6.108471870422363,
train,1,7,1,The slender turtles past the vine,The slender turtle past the vines,-5.958478927612305,-7.520978927612305,-12.009099960327148,-8.759099960327148,-11.7615327835083,-8.3865327835083,
train,0,7,1,The timid cow around the benches,The timid cows around the bench,-4.797881603240967,-7.297881603240967,-7.636898994445801,-1.6993987560272217,-7.67763614654541,-1.7401363849639893,
train,1,7,1,The timid cows around the bench,The timid cow around the benches,-1.6993987560272217,-7.636898994445801,-7.297881603240967,-4.797881603240967,-7.41596794128418,-4.79096794128418,
train,0,7,1,The nervous rabbit around the dams,The nervous rabbits around the dam,-6.065600872039795,-6.690600872039795,-6.5992960929870605,-2.7242960929870605,-6.604550838470459,-2.729550838470459,
train,1,7,1,The nervous rabbits around the dam,The nervous rabbit around the dams,-2.7242960929870605,-6.5992960929870605,-6.690600872039795,-6.065600872039795,-6.691043853759766,-6.191043853759766,
train,0,7,1,The timid rat around the benches,The timid rats around the bench,-13.4708251953125,-14.3458251953125,-13.163585662841797,-9.038585662841797,-13.211548805236816,-9.149048805236816,
train,1,7,1,The timid rats around the bench,The timid rat around the benches,-9.038585662841797,-13.163585662841797,-14.3458251953125,-13.4708251953125,-14.353400230407715,-13.415900230407715,
train,0,7,1,The small dolphin past the logs,The small dolphins past the log,-6.269815921783447,-9.519816398620605,-7.538547515869141,-6.288547515869141,-7.660624027252197,-6.785624027252197,
train,1,7,1,The small dolphins past the log,The small dolphin past the logs,-6.288547515869141,-7.538547515869141,-9.519816398620605,-6.269815921783447,-8.789688110351562,-5.2896881103515625,
train,0,7,1,The calm lion outside the cabins,The calm lions outside the cabin,-4.27598237991333,-8.650981903076172,-6.863158226013184,-2.6131584644317627,-6.833415985107422,-2.583416223526001,
train,1,7,1,The calm lions outside the cabin,The calm lion outside the cabins,-2.6131584644317627,-6.863158226013184,-8.650981903076172,-4.27598237991333,-8.690174102783203,-4.252674102783203,
train,0,7,1,The fuzzy horse beneath the boilers,The fuzzy horses beneath the boiler,-4.305613994598389,-9.49311351776123,-6.113648891448975,-2.2386488914489746,-6.097521781921387,-2.222522020339966,
train,1,7,1,The fuzzy horses beneath the boiler,The fuzzy horse beneath the boilers,-2.2386488914489746,-6.113648891448975,-9.49311351776123,-4.305613994598389,-9.373940467834473,-4.1864399909973145,
train,0,7,1,The bright pup outside the cabins,The bright pups outside the cabin,-4.062347888946533,-6.312347888946533,-7.248691082000732,-2.7486913204193115,-7.285900115966797,-2.785900115966797,
train,1,7,1,The bright pups outside the cabin,The bright pup outside the cabins,-2.7486913204193115,-7.248691082000732,-6.312347888946533,-4.062347888946533,-6.516100883483887,-4.141100883483887,
train,0,7,1,The timid dog outside the clocks,The timid dogs outside the clock,-5.3493547439575195,-7.4743547439575195,-9.819435119628906,-7.444434642791748,-9.87825870513916,-7.69075870513916,
train,1,7,1,The timid dogs outside the clock,The timid dog outside the clocks,-7.444434642791748,-9.819435119628906,-7.4743547439575195,-5.3493547439575195,-7.470312595367432,-5.470312595367432,
train,0,7,1,The timid lion beneath the walls,The timid lions beneath the wall,-5.467855930328369,-11.030355453491211,-8.523414611816406,-4.2734150886535645,-8.570161819458008,-4.382662296295166,
train,1,7,1,The timid lions beneath the wall,The timid lion beneath the walls,-4.2734150886535645,-8.523414611816406,-11.030355453491211,-5.467855930328369,-11.113202095031738,-5.48820161819458,
train,0,7,1,The fuzzy cow behind the houses,The fuzzy cows behind the house,-5.772742748260498,-9.147743225097656,-7.4627485275268555,-3.5877485275268555,-7.457409381866455,-3.582409381866455,
train,1,7,1,The fuzzy cows behind the house,The fuzzy cow behind the houses,-3.5877485275268555,-7.4627485275268555,-9.147743225097656,-5.772742748260498,-9.149007797241211,-5.774008274078369,
train,0,7,1,The calm chick outside the drums,The calm chicks outside the drum,-16.154407501220703,-17.185657501220703,-14.724930763244629,-13.349930763244629,-14.662049293518066,-13.318299293518066,
train,1,7,1,The calm chicks outside the drum,The calm chick outside the drums,-13.349930763244629,-14.724930763244629,-17.185657501220703,-16.154407501220703,-17.18474769592285,-16.21599769592285,
train,0,7,1,The slender panda beneath the boxes,The slender pandas beneath the box,-4.917566299438477,-9.542566299438477,-6.243422985076904,-3.3684232234954834,-6.134346008300781,-3.3843460083007812,
train,1,7,1,The slender pandas beneath the box,The slender panda beneath the boxes,-3.3684232234954834,-6.243422985076904,-9.542566299438477,-4.917566299438477,-9.543192863464355,-4.918193340301514,
train,0,7,1,The nervous shark around the thresholds,The nervous sharks around the threshold,-16.646421432495117,-18.146421432495117,-18.51089859008789,-15.94839859008789,-18.449182510375977,-15.949182510375977,
train,1,7,1,The nervous sharks around the threshold,The nervous shark around the thresholds,-15.94839859008789,-18.51089859008789,-18.146421432495117,-16.646421432495117,-18.146175384521484,-16.646175384521484,
train,0,7,1,The slender dog beneath the boilers,The slender dogs beneath the boiler,-2.8628997802734375,-6.8628997802734375,-5.421899795532227,-1.9218995571136475,-5.340216636657715,-1.8402166366577148,
train,1,7,1,The slender dogs beneath the boiler,The slender dog beneath the boilers,-1.9218995571136475,-5.421899795532227,-6.8628997802734375,-2.8628997802734375,-7.099010467529297,-2.974010705947876,
train,0,7,1,The timid dolphin outside the pipes,The timid dolphins outside the pipe,-4.934711456298828,-7.684711456298828,-6.573246955871582,-3.823246955871582,-6.674091339111328,-3.7990915775299072,
train,1,7,1,The timid dolphins outside the pipe,The timid dolphin outside the pipes,-3.823246955871582,-6.573246955871582,-7.684711456298828,-4.934711456298828,-7.684292793273926,-5.059292793273926,
train,0,7,1,The small pup past the cables,The small pups past the cable,-7.632705211639404,-10.632705688476562,-6.47751522064209,-4.97751522064209,-6.561592102050781,-5.436592102050781,
train,1,7,1,The small pups past the cable,The small pup past the cables,-4.97751522064209,-6.47751522064209,-10.632705688476562,-7.632705211639404,-9.640419006347656,-6.640418529510498,
train,0,7,1,The slender dog outside the windows,The slender dogs outside the window,-4.463080406188965,-8.088080406188965,-8.080699920654297,-3.1431994438171387,-8.075435638427734,-3.1379361152648926,
train,1,7,1,The slender dogs outside the window,The slender dog outside the windows,-3.1431994438171387,-8.080699920654297,-8.088080406188965,-4.463080406188965,-8.08797550201416,-4.46297550201416,
train,0,7,1,The calm frog around the stools,The calm frogs around the stool,-6.291205406188965,-9.041205406188965,-6.389813423156738,-4.264813423156738,-6.355886936187744,-4.355886936187744,
train,1,7,1,The calm frogs around the stool,The calm frog around the stools,-4.264813423156738,-6.389813423156738,-9.041205406188965,-6.291205406188965,-9.162233352661133,-6.412233352661133,
train,0,7,1,The small cow behind the pans,The small cows behind the pan,-3.6165411472320557,-4.616540908813477,-2.9226813316345215,-2.1726813316345215,-2.9970343112945557,-2.1220343112945557,
train,1,7,1,The small cows behind the pan,The small cow behind the pans,-2.1726813316345215,-2.9226813316345215,-4.616540908813477,-3.6165411472320557,-4.627993106842041,-3.627993106842041,
train,0,7,1,The fuzzy dog around the tanks,The fuzzy dogs around the tank,-17.23057746887207,-17.85557746887207,-17.551326751708984,-15.301325798034668,-17.605497360229492,-15.417997360229492,
train,1,7,1,The fuzzy dogs around the tank,The fuzzy dog around the tanks,-15.301325798034668,-17.551326751708984,-17.85557746887207,-17.23057746887207,-17.91635513305664,-17.35385513305664,
train,0,7,1,The small lion behind the bolts,The small lions behind the bolt,-5.655845642089844,-10.280845642089844,-6.345086097717285,-2.720086097717285,-6.23402738571167,-2.73402738571167,
train,1,7,1,The small lions behind the bolt,The small lion behind the bolts,-2.720086097717285,-6.345086097717285,-10.280845642089844,-5.655845642089844,-10.403613090515137,-5.778613567352295,
train,0,7,1,The small dog outside the cabins,The small dogs outside the cabin,-4.059904098510742,-8.059904098510742,-7.193259239196777,-1.6932591199874878,-7.183557987213135,-1.6835578680038452,
train,1,7,1,The small dogs outside the cabin,The small dog outside the cabins,-1.6932591199874878,-7.193259239196777,-8.059904098510742,-4.059904098510742,-8.072628021240234,-3.9476282596588135,
train,0,7,1,The bright bat behind the valves,The bright bats behind the valve,-13.92077350616455,-15.60827350616455,-13.17243766784668,-10.60993766784668,-13.1798095703125,-10.5548095703125,
train,1,7,1,The bright bats behind the valve,The bright bat behind the valves,-10.60993766784668,-13.17243766784668,-15.60827350616455,-13.92077350616455,-15.67001724243164,-13.98251724243164,
