epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.6484010219573975,0.8021407127380371,60.24475911458333,51.46742897033691,1.453125,1.453125,1.4494974613189697,1.9609375,0.08740234375, doors |  cats |  door |  dogs |  Cats,doors |  birds |  cats |  rats |  dogs,0.528777003288269,0.2158273309469223,0.8417266011238098
2,,0.1298929750919342,0.8857535123825073,49.29375,44.29895833333333,1.453125,1.453125,1.4494974613189697,1.9453125,0.0966796875, doors |  cats |  door |  dogs |  Cats, birds |  cats |  rats | doors |  dogs,0.7410072088241577,0.6187050342559814,0.8633093237876892
3,,0.0545315146446228,0.5653120875358582,38.17552083333333,35.403125,1.453125,1.4453125,1.4494974613189697,1.953125,0.09326171875, doors |  door |  cats | _door |  dogs, cats |  birds |  dogs |  rats | doors,0.8273381590843201,0.7410072088241577,0.9136690497398376
4,,0.21655508875846863,0.06020474433898926,27.940104166666668,26.881380208333333,1.4453125,1.453125,1.4494974613189697,1.9609375,0.0849609375, doors |  door |  cats | _door |  Door, cats |  birds |  dogs |  rats |  rabbits,0.8129496574401855,0.6762589812278748,0.9496402740478516
5,,0.21340927481651306,0.07157496362924576,23.446614583333332,23.435416666666665,1.4453125,1.453125,1.4494974613189697,1.96875,0.07666015625, doors |  door | _door |  cats |  Door, cats |  birds |  dogs |  rats |  rabbits,0.8309352397918701,0.7122302055358887,0.9496402740478516
6,,0.02830025926232338,0.29499855637550354,18.380598958333334,17.994140625,1.453125,1.453125,1.4494974613189697,1.984375,0.062255859375, doors |  door | _door | 䢼 |  Door, birds |  cats |  dogs |  rats |  rabbits,0.8597122430801392,0.8129496574401855,0.9064748287200928
7,,0.027683090418577194,0.13854077458381653,19.344010416666666,19.657194010416667,1.453125,1.4453125,1.4494974613189697,1.9921875,0.053466796875, doors |  door | _door | 䢼 |  Door, cats |  birds |  dogs |  rabbits |  rats,0.8633093237876892,0.7913669347763062,0.935251772403717
8,,0.04276490584015846,0.04320124536752701,15.073046875,14.9953125,1.4453125,1.453125,1.4494974613189697,2.015625,0.039794921875, doors |  door | _door | 䢼 |  Door, cats |  birds |  dogs |  rabbits |  frogs,0.8525179624557495,0.7769784331321716,0.9280575513839722
9,,0.10473640263080597,0.012664464302361012,6.589794921875,6.51455078125,1.453125,1.453125,1.4494974613189697,2.015625,0.031982421875, doors |  door | _door | 䢼 |  Door, cats |  birds |  dogs |  rabbits |  frogs,0.8561151027679443,0.7769784331321716,0.935251772403717
10,,0.07806971669197083,0.008193387649953365,10.723942057291667,10.799772135416667,1.4453125,1.453125,1.4494974613189697,2.03125,0.016845703125, doors |  door | _door | 䢼 |  Door, cats |  birds |  dogs |  rabbits |  frogs,0.8453237414360046,0.7482014298439026,0.9424460530281067
11,,0.050463467836380005,0.021794503554701805,7.651578776041666,7.513907877604167,1.453125,1.4453125,1.4494974613189697,2.046875,0.00506591796875, doors |  door | _door | 䢼 |  Door, cats |  birds |  dogs |  rabbits |  frogs,0.8489208817481995,0.769784152507782,0.9280575513839722
12,,0.00667185103520751,0.0836469754576683,9.277119954427084,9.028499348958333,1.453125,1.453125,1.4494974613189697,2.0625,-0.007293701171875, doors |  door | _door | 䢼 |  Door, cats |  birds |  dogs |  rabbits |  frogs,0.8705036044120789,0.8273381590843201,0.9136690497398376
13,,0.08372737467288971,0.00838620588183403,5.368831380208333,5.299643961588542,1.4453125,1.4453125,1.4494974613189697,2.0625,-0.013671875, doors |  door | _door | 䢼 | 艅, birds |  cats |  dogs |  rabbits |  frogs,0.866906464099884,0.798561155796051,0.935251772403717
14,,0.05865023285150528,0.006217935588210821,6.846404012044271,6.865810139973958,1.453125,1.4453125,1.4494974613189697,2.078125,-0.0263671875, doors |  door | _door | 䢼 | 艅, cats |  birds |  dogs |  rabbits |  frogs,0.8776978254318237,0.8201438784599304,0.935251772403717
15,,0.04688865691423416,0.005087667144834995,6.603933715820313,6.566764322916667,1.4453125,1.453125,1.4494974613189697,2.078125,-0.0322265625, doors |  door | _door | 䢼 | 艅, birds |  cats |  dogs |  rabbits |  frogs,0.8848921060562134,0.8417266011238098,0.9280575513839722
