split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,7,1,The nervous chick past the screws,The nervous chicks past the screw,-8.883936882019043,-10.633936882019043,-8.450952529907227,-8.013452529907227,-7.585366249084473,-8.335366249084473,
train,0,7,1,The sleepy rabbit beneath the milestones,The sleepy rabbits beneath the milestone,-11.290892601013184,-14.790892601013184,-13.825227737426758,-9.700227737426758,-14.009200096130371,-11.571700096130371,
train,0,7,1,The sleepy bat beneath the boilers,The sleepy bats beneath the boiler,-3.939912796020508,-9.627412796020508,-6.989213943481445,-2.7392139434814453,-6.037215709686279,-3.1622157096862793,
train,0,7,1,The sleepy lion beneath the boilers,The sleepy lions beneath the boiler,-4.928691387176514,-10.491190910339355,-7.7726826667785645,-3.6476826667785645,-7.08189582824707,-3.894395589828491,
train,0,7,1,The quiet shark outside the clocks,The quiet sharks outside the clock,-6.408175945281982,-7.908175945281982,-8.585090637207031,-6.8350911140441895,-6.638466835021973,-5.263466835021973,
train,0,7,1,The calm dog outside the houses,The calm dogs outside the house,-4.887549877166748,-8.51254940032959,-6.267297744750977,-3.2672979831695557,-6.948763847351074,-4.323763847351074,
train,0,7,1,The slender pup behind the bolts,The slender pups behind the bolt,-12.95759105682373,-14.64509105682373,-15.177372932434082,-11.177372932434082,-15.105005264282227,-11.417505264282227,
train,0,7,1,The small frog around the tanks,The small frogs around the tank,-5.931601524353027,-8.681601524353027,-7.2757568359375,-1.525757074356079,-7.539688587188721,-2.5396885871887207,
train,0,7,1,The fuzzy panda outside the pots,The fuzzy pandas outside the pot,-4.11491584777832,-7.61491584777832,-5.326652526855469,-3.3266525268554688,-4.2957916259765625,-5.0457916259765625,
train,0,7,1,The small panda behind the bolts,The small pandas behind the bolt,-5.672670364379883,-10.110170364379883,-7.890442848205566,-5.015442848205566,-7.299112319946289,-5.424112319946289,
train,0,7,1,The quiet turtle around the dams,The quiet turtles around the dam,-5.591008186340332,-7.716008186340332,-7.748525619506836,-2.186025619506836,-8.807788848876953,-3.995288610458374,
train,0,7,1,The nervous dog around the benches,The nervous dogs around the bench,-6.441159725189209,-8.69115924835205,-7.295806884765625,-3.045806646347046,-7.738081932067871,-4.488081932067871,
train,0,7,1,The sleepy kitten beneath the logs,The sleepy kittens beneath the log,-4.607175350189209,-10.85717487335205,-8.096817970275879,-4.346817970275879,-8.237326622009277,-5.862326622009277,
train,0,7,1,The quiet monitor beneath the chains,The quiet monitors beneath the chain,-5.609220027923584,-10.171719551086426,-5.174475193023682,-4.924475193023682,-5.5646514892578125,-5.4396514892578125,
train,0,7,1,The small panda past the vines,The small pandas past the vine,-15.825753211975098,-18.07575225830078,-15.503251075744629,-14.565751075744629,-14.756471633911133,-14.631471633911133,
train,0,7,1,The timid kitten outside the towers,The timid kittens outside the tower,-4.728568077087402,-9.916068077087402,-8.702354431152344,-3.389854907989502,-8.739021301269531,-3.9265213012695312,
train,0,7,1,The sleepy frog behind the valves,The sleepy frogs behind the valve,-4.634660720825195,-9.072160720825195,-7.166411876678467,-2.8539116382598877,-6.86356782913208,-3.738568067550659,
train,0,7,1,The sleepy monitor around the belts,The sleepy monitors around the belt,-6.552448749542236,-7.802448749542236,-8.025328636169434,-2.9628288745880127,-8.152791023254395,-3.9027910232543945,
