epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.7515923976898193,0.07110234349966049,59.20167643229167,62.484100850423175,1.453125,1.453125,1.4494974613189697,1.9140625,0.126953125, dogs | 狗狗 |  dog | dogs |  cats, |  |  wives |  wolves | 혭,0.2521008551120758,0.008403361774981022,0.4957983195781708
2,,0.4803837835788727,0.23942478001117706,41.73880208333333,39.57213541666667,1.4453125,1.4453125,1.4494974613189697,1.9375,0.107421875, dogs | 狗狗 |  dog |  Dog |  fox, wives |  |  wolves |  |  roofs,0.31092438101768494,0.05882352963089943,0.5630252361297607
3,,0.0015640603378415108,1.909885048866272,34.338427734375,34.51241658528646,1.453125,1.4453125,1.4494974613189697,1.9609375,0.08251953125, dogs |  dog |  Dog | 狗狗 |  fox, wives |  wolves |  |  |  birds,0.5546218752861023,0.3193277418613434,0.7899159789085388
4,,0.0028650241438299417,0.6645046472549438,33.965641276041666,32.69592793782552,1.453125,1.453125,1.4494974613189697,2.0,0.0517578125, dogs |  Dog |  dog | 狗狗 |  fox, wives |  wolves |  birds |  roofs |  dolls,0.5588235259056091,0.2689075767993927,0.848739504814148
5,,0.032089073210954666,0.13339731097221375,18.112003580729166,17.687162272135417,1.453125,1.453125,1.4494974613189697,2.015625,0.039794921875, Dog |  dog |  dogs | 狗狗 |  fox, wives |  birds |  wolves |  roofs |  lamps,0.575630247592926,0.22689075767993927,0.924369752407074
6,,0.5794535279273987,0.0018729079747572541,16.012662760416667,16.075765991210936,1.453125,1.453125,1.4494974613189697,2.046875,0.006744384765625, Dog |  dog |  dogs | 狗狗 |  creature, wives |  wolves |  birds |  lamps |  dolls,0.5714285969734192,0.16806723177433014,0.9747899174690247
7,,0.015413778834044933,0.05468730255961418,17.280775388081867,17.70942586263021,1.453125,1.4453125,1.4494974613189697,2.0625,-0.01190185546875, Dog |  dog | 狗狗 |  creature |  fox, wives |  birds |  wolves |  rabbits |  lamps,0.6134454011917114,0.2857142984867096,0.9411764740943909
8,,1.3282606601715088,0.0004979480290785432,6.1922154744466145,6.0752197265625,1.453125,1.453125,1.4494974613189697,2.078125,-0.0208740234375, Dog |  dog | 狗狗 |  creature |  dogs, wives |  wolves |  birds |  rabbits |  twins,0.5546218752861023,0.11764705926179886,0.9915966391563416
9,,0.038736674934625626,0.03378999978303909,8.14170176188151,8.137828063964843,1.4453125,1.4453125,1.4494974613189697,2.09375,-0.036865234375, Dog |  dog |  creature | 狗狗 |  fox, wives |  birds |  wolves |  rabbits |  twins,0.6596638560295105,0.3781512677669525,0.9411764740943909
10,,0.027701500803232193,0.011810405179858208,7.837533060709635,7.896136474609375,1.453125,1.453125,1.4494974613189697,2.109375,-0.06298828125, Dog |  creature |  dog |  fox | 狗狗, birds |  wives |  twins |  wolves |  lamps,0.6470588445663452,0.3529411852359772,0.9411764740943909
11,,0.6240962743759155,0.01510677207261324,8.187880452473959,7.994983927408854,1.453125,1.4453125,1.4494974613189697,2.140625,-0.08544921875, Dog |  creature |  dog |  fox | 狗狗, wives |  birds |  twins |  wolves |  lamps,0.6386554837226868,0.2857142984867096,0.9915966391563416
12,,0.010533677414059639,0.011915503069758415,15.118103583653768,15.150205993652344,1.453125,1.453125,1.4494974613189697,2.15625,-0.10693359375, creature |  Dog |  dog | 狗狗 |  fox, birds |  wives |  twins |  rabbits |  lamps,0.6764705777168274,0.40336135029792786,0.9495798349380493
13,,7.325963815674186e-05,1.3367416858673096,4.740954446792602,4.620785268147786,1.453125,1.453125,1.4494974613189697,2.171875,-0.1201171875, creature |  Dog |  dog |  fox | 狗狗, birds |  wives |  twins |  lamps |  rabbits,0.7100840210914612,0.5714285969734192,0.848739504814148
