epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,11.581469535827637,0.8635214567184448,54.167233256498974,49.407124837239586,1.453125,1.4453125,1.4494974613189697,1.9453125,0.1025390625,_Path |  phones | 狗狗 | .phone | dog, gates |  doors |  gate |  door | Gate,0.5,0.0,1.0
2,,3.7559032440185547,0.8157369494438171,54.05840047200521,44.223958333333336,1.4453125,1.453125,1.4494974613189697,1.9375,0.10498046875,狗狗 | _Path |  phones |  | , gates |  doors |  gate |  rabbits |  door,0.5,0.0,1.0
3,,1.164410948753357,0.2568490505218506,52.228125,36.969791666666666,1.4453125,1.453125,1.4494974613189697,1.9375,0.1083984375,狗狗 | _Path | ࡐ | (cat | , gates |  doors |  rabbits |  gate |  door,0.5084033608436584,0.016806723549962044,1.0
4,,0.3433878719806671,0.2828194797039032,38.30416666666667,33.735416666666666,1.453125,1.4453125,1.4494974613189697,1.9375,0.10693359375,狗狗 | ࡐ | _Path |  Creature | (cat, gates |  doors |  rabbits |  gate |  cats,0.5168067216873169,0.03361344709992409,1.0
5,,0.14639070630073547,0.2895030379295349,30.4265625,28.933333333333334,1.453125,1.453125,1.4494974613189697,1.9453125,0.10302734375,狗狗 |  Creature | _Path | ࡐ |  creature, gates |  rabbits |  doors |  gate |  cats,0.5420168042182922,0.08403361588716507,1.0
6,,0.12566974759101868,0.2309049367904663,21.705208333333335,20.886979166666666,1.4453125,1.453125,1.4494974613189697,1.9453125,0.10107421875,狗狗 |  Creature |  creature | ࡐ | _Path, gates |  rabbits |  doors |  cats |  gate,0.5672268867492676,0.13445378839969635,1.0
7,,0.08748675882816315,0.14971166849136353,21.167578125,20.791666666666668,1.453125,1.453125,1.4494974613189697,1.953125,0.0966796875,狗狗 |  Creature |  creature | _Path | ࡐ, gates |  rabbits |  doors |  cats |  dogs,0.575630247592926,0.15126051008701324,1.0
8,,0.10012958943843842,0.07631921023130417,13.978125,13.386979166666666,1.4453125,1.453125,1.4494974613189697,1.953125,0.09228515625, Creature | 狗狗 |  creature | _Path | ࡐ, rabbits |  gates |  doors |  cats |  dogs,0.575630247592926,0.15126051008701324,1.0
9,,0.02008264884352684,0.30468079447746277,12.9904296875,12.688020833333333,1.453125,1.4453125,1.4494974613189697,1.9609375,0.08447265625, Creature |  creature | 狗狗 | ࡐ | 動物, rabbits |  gates |  doors |  cats |  dogs,0.6302521228790283,0.26050421595573425,1.0
10,,0.018027599900960922,0.24252302944660187,12.677083333333334,12.305924479166666,1.453125,1.453125,1.4494974613189697,1.96875,0.07861328125, Creature |  creature | 狗狗 | ࡐ | 動物, rabbits |  gates |  cats |  doors |  dogs,0.6260504126548767,0.2521008551120758,1.0
11,,0.0994538739323616,0.04386940598487854,11.915657552083333,11.800569661458333,1.453125,1.4453125,1.4494974613189697,1.96875,0.07666015625, Creature |  creature | 狗狗 | ࡐ | 動物, rabbits |  gates |  cats |  doors |  dogs,0.605042040348053,0.21008403599262238,1.0
12,,0.08587981760501862,0.029080158099532127,9.047623697916666,8.92177734375,1.4453125,1.4453125,1.4494974613189697,1.96875,0.072265625, Creature |  creature | 狗狗 | ࡐ | 動物, rabbits |  gates |  cats |  dogs |  doors,0.6092436909675598,0.21848739683628082,1.0
13,,0.02419283241033554,0.07920882105827332,9.94716796875,9.7904296875,1.4453125,1.453125,1.4494974613189697,1.984375,0.06494140625, creature |  Creature | 狗狗 | ࡐ | 動物, rabbits |  cats |  gates |  dogs |  doors,0.651260495185852,0.3025210201740265,1.0
14,,0.07014847546815872,0.03988422080874443,8.629069010416666,8.591943359375,1.453125,1.4453125,1.4494974613189697,1.984375,0.0634765625, creature |  Creature | 狗狗 | ࡐ | 動物, rabbits |  cats |  gates |  dogs |  doors,0.6218487620353699,0.24369747936725616,1.0
15,,0.05795643851161003,0.02077578753232956,9.209212239583334,9.175130208333334,1.4453125,1.453125,1.4494974613189697,1.9921875,0.05615234375, creature |  Creature | 狗狗 | 動物 | ࡐ, rabbits |  cats |  gates |  dogs |  doors,0.6554622054100037,0.31092438101768494,1.0
16,,0.05303411930799484,0.0232705008238554,6.062972005208334,5.952718098958333,1.453125,1.4453125,1.4494974613189697,2.0,0.0517578125, creature |  Creature | 狗狗 | 動物 | ࡐ, rabbits |  cats |  gates |  dogs |  doors,0.6722689270973206,0.3445378243923187,1.0
17,,0.05880136042833328,0.0135335149243474,7.679052734375,7.590201822916667,1.453125,1.453125,1.4494974613189697,2.0,0.0439453125, creature |  Creature | 狗狗 | 動物 | ࡐ, rabbits |  cats |  dogs |  gates |  doors,0.6890756487846375,0.3781512677669525,1.0
18,,0.0420009009540081,0.01946369744837284,6.790218098958333,6.757204182942709,1.453125,1.4453125,1.4494974613189697,2.015625,0.038330078125, creature |  Creature | 狗狗 | 動物 | creature, rabbits |  cats |  dogs |  gates |  doors,0.6890756487846375,0.3781512677669525,1.0
19,,0.010415725409984589,0.07445161044597626,4.310017903645833,4.2592529296875,1.453125,1.453125,1.4494974613189697,2.015625,0.0299072265625, creature |  Creature | 狗狗 | 動物 | creature, rabbits |  cats |  gates |  dogs |  doors,0.7100840210914612,0.42016807198524475,1.0
20,,0.04629839211702347,0.011388017795979977,7.0750244140625,7.061686197916667,1.453125,1.453125,1.4494974613189697,2.03125,0.0272216796875, creature |  Creature | 狗狗 | 動物 | creature, rabbits |  cats |  dogs |  gates |  doors,0.7142857313156128,0.4285714328289032,1.0
21,,0.008653459139168262,0.12001894414424896,5.800374348958333,5.735091145833334,1.4453125,1.453125,1.4494974613189697,2.03125,0.0216064453125, creature |  Creature | 狗狗 | creature | 動物, rabbits |  cats |  dogs |  gates |  doors,0.7184873819351196,0.43697479367256165,1.0
22,,0.051249098032712936,0.008871341124176979,3.8052490234375,3.759228515625,1.453125,1.453125,1.4494974613189697,2.03125,0.0177001953125, creature |  Creature | 動物 | creature | 狗狗, rabbits |  cats |  dogs |  gates |  doors,0.7142857313156128,0.4285714328289032,1.0
23,,0.036597222089767456,0.011821364052593708,4.809244791666667,4.798942057291667,1.453125,1.453125,1.4494974613189697,2.03125,0.01214599609375, creature |  Creature | creature | 動物 | 狗狗, rabbits |  cats |  dogs |  gates |  doors,0.7142857313156128,0.4285714328289032,1.0
24,,0.03981748968362808,0.006492201238870621,5.702058919270834,5.659773763020834,1.4453125,1.453125,1.4494974613189697,2.046875,0.0037689208984375, creature |  Creature | creature | 動物 |  animal, rabbits |  cats |  dogs |  gates |  doors,0.7100840210914612,0.42016807198524475,1.0
25,,0.025335952639579773,0.014278543181717396,3.9284322102864584,3.8819864908854167,1.4453125,1.453125,1.4494974613189697,2.046875,-0.00140380859375, creature |  Creature | creature | 動物 | ࡐ, rabbits |  cats |  dogs |  gates |  doors,0.7100840210914612,0.42016807198524475,1.0
26,,0.001730195595882833,0.10256008803844452,1.7032674153645833,1.65123291015625,1.453125,1.453125,1.4494974613189697,2.0625,-0.0115966796875, creature |  Creature | creature | 動物 | ࡐ, rabbits |  cats |  dogs |  gates |  doors,0.756302535533905,0.5210084319114685,0.9915966391563416
