epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.970122218132019,0.26602402329444885,61.7489013671875,56.06151503324509,1.453125,1.453125,1.4494974613189697,1.9296875,0.11376953125, dogs |  dog | Dog |  pets | animals, trees |  tree |  cats | trees | 	tree,0.36554622650146484,0.09243697673082352,0.6386554837226868
2,,0.13629785180091858,0.25002044439315796,45.21048177083333,43.62473958333333,1.4453125,1.453125,1.4494974613189697,1.953125,0.0908203125, dogs |  dog | Dog |  Dog | _door, trees |  cats |  tree | trees | tree,0.44117647409439087,0.19327731430530548,0.6890756487846375
3,,0.01778719387948513,0.30763083696365356,21.677945963541667,21.80341796875,1.453125,1.453125,1.4494974613189697,1.9765625,0.072265625, dogs |  dog | Dog | Door | _door, trees |  cats | trees |  tree |  chairs,0.4831932783126831,0.2689075767993927,0.6974790096282959
4,,0.12382093816995621,0.03550984710454941,26.406396484375,26.615120442708335,1.453125,1.453125,1.4494974613189697,2.0,0.04736328125, dog |  dogs | Dog |  Dog | Door, trees |  cats | trees |  tree |  chairs,0.5126050710678101,0.1596638709306717,0.8655462265014648
5,,0.16348914802074432,0.0938970074057579,11.716145833333334,12.22645263671875,1.453125,1.453125,1.4494974613189697,2.015625,0.02734375, dog | Dog |  dogs | Door |  Dog, cats |  trees | trees |  wolves |  chairs,0.5336134433746338,0.18487395346164703,0.8823529481887817
6,,0.6452631950378418,0.010065080597996712,8.519658406575521,8.198756917317708,1.453125,1.4453125,1.4494974613189697,2.03125,0.01104736328125, dog | Dog |  dogs |  animal |  Dog, trees |  cats | trees |  wolves |  chairs,0.5378151535987854,0.1260504275560379,0.9495798349380493
7,,0.061568617820739746,0.03126329928636551,20.760860697428384,20.661374918619792,1.453125,1.453125,1.4494974613189697,2.0625,-0.01275634765625, dog | Dog |  animal |  Dog |  creature, trees |  cats | trees |  chairs |  wolves,0.5420168042182922,0.18487395346164703,0.8991596698760986
8,,0.014794930815696716,0.021671602502465248,5.2218017578125,5.2762705485026045,1.453125,1.4453125,1.4494974613189697,2.078125,-0.0242919921875, dog | Dog |  creature |  animal |  Dog, cats |  trees | trees |  chairs |  cars,0.5378151535987854,0.19327731430530548,0.8823529481887817
9,,0.37620973587036133,0.0006171374698169529,10.154096984863282,10.002598063151042,1.453125,1.453125,1.4494974613189697,2.109375,-0.061279296875, dog |  animal |  creature | Dog |  Dog, cats |  trees | trees |  wolves |  cars,0.5378151535987854,0.10084033757448196,0.9747899174690247
10,,0.4068218767642975,0.00030140671879053116,15.165097427368163,15.08887346982956,1.4453125,1.453125,1.4494974613189697,2.140625,-0.083984375, dog |  animal |  creature | Dog |  Dog, cats |  trees | trees |  cars |  wolves,0.5378151535987854,0.10084033757448196,0.9747899174690247
11,,0.003654827829450369,0.047186024487018585,7.513774108886719,7.309434509277343,1.4453125,1.4453125,1.4494974613189697,2.15625,-0.10791015625, creature |  animal |  dog |  Dog | Dog, cats |  trees |  cars |  chairs | trees,0.5672268867492676,0.16806723177433014,0.9663865566253662
12,,0.3412646949291229,0.0005412964965216815,8.553031667073567,8.439174405733745,1.4453125,1.453125,1.4494974613189697,2.1875,-0.1396484375, creature |  animal |  dog |  Dog | Dog, cats |  trees |  cars | 两只 |  dogs,0.5504201650619507,0.1260504275560379,0.9747899174690247
13,,0.023740926757454872,0.0069607957266271114,13.316824102401734,13.177535271644592,1.453125,1.4453125,1.4494974613189697,2.203125,-0.1591796875, creature |  animal |  dog |  Dog | animal, cats |  trees | 两只 |  cars | trees,0.5714285969734192,0.1764705926179886,0.9663865566253662
14,,0.297618567943573,0.002008823212236166,6.851333999633789,6.438124593098959,1.453125,1.453125,1.4494974613189697,2.21875,-0.173828125, creature |  animal |  dog |  Dog | animal, cats |  trees | 两只 |  cars | trees,0.5714285969734192,0.16806723177433014,0.9747899174690247
15,,0.8398873209953308,5.6178490922320634e-05,10.965228780110676,11.218312036991119,1.453125,1.4453125,1.4494974613189697,2.234375,-0.1962890625, creature |  animal |  dog |  Dog | animal, cats |  trees | 两只 |  dogs |  cars,0.5336134433746338,0.07563025504350662,0.9915966391563416
16,,0.08033395558595657,0.0006175537128001451,10.060569953918456,9.955907996495565,1.453125,1.453125,1.4494974613189697,2.265625,-0.21875, creature |  animal |  dog |  Dog | animal, cats | 两只 |  trees | 两个人 |  cars,0.5840336084365845,0.19327731430530548,0.9747899174690247
17,,0.002291235839948058,0.3285006880760193,6.569821794827779,6.328153586387634,1.453125,1.453125,1.4494974613189697,2.28125,-0.2431640625, creature |  animal |  dog |  npc |  Dog, cats | 两只 |  trees | 两个人 |  cars,0.5462185144424438,0.21008403599262238,0.8823529481887817
18,,0.22909364104270935,0.0003114411956630647,6.550853284200032,6.497306941946348,1.453125,1.453125,1.4494974613189697,2.296875,-0.26171875, creature |  animal |  dog |  monster | animal, cats | 两只 |  trees | 两个人 |  dogs,0.575630247592926,0.16806723177433014,0.9831932783126831
19,,0.014795620925724506,0.02989291213452816,11.23098655541738,10.690580558776855,1.453125,1.4453125,1.4494974613189697,2.328125,-0.283203125, creature |  animal |  monster | animal |  dog,两只 |  cats |  trees | 两个人 |  cars,0.5504201650619507,0.19327731430530548,0.9075630307197571
20,,0.21983866393566132,0.00034977777977474034,5.009040625890096,4.995917415618896,1.453125,1.453125,1.4494974613189697,2.34375,-0.302734375, creature |  animal |  monster | animal |  dog,两只 |  cats | 两个人 |  trees | 两家,0.5840336084365845,0.18487395346164703,0.9831932783126831
21,,0.09218186885118484,0.0003524986677803099,11.589082304636637,11.578931617736817,1.4453125,1.453125,1.4494974613189697,2.359375,-0.32421875, creature |  animal |  monster |  npc | animal,两只 |  cats | 两个人 |  trees | 两家,0.5882353186607361,0.19327731430530548,0.9831932783126831
