epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,15.736589018503825,13.90178108215332,13.874358177185059,77.25892539823738,79.16666899172996,1.453125,1.453125,1.4494974613189697,1.953125,0.0986328125, rabbits |  animals |  birds |  cats |  mammals, doors |  gates |  cats |  boats |  babies,0.7338129281997681,0.5899280309677124,0.8776978254318237
2,12.572644925117492,10.75160026550293,10.808279991149902,76.91640387140214,79.16680687099385,1.4609375,1.453125,1.4494974613189697,1.953125,0.103515625, rabbits |  animals |  cats |  birds |  mammals, doors |  gates |  cats |  boats |  babies,0.769784152507782,0.6043165326118469,0.935251772403717
3,9.58359863360723,8.238053321838379,7.923545837402344,79.85140806237857,79.10080788747096,1.4609375,1.4609375,1.4494974613189697,1.953125,0.1083984375, rabbits |  animals |  cats |  birds |  mammals, doors |  gates |  cats |  boats |  babies,0.7769784331321716,0.6115108132362366,0.9424460530281067
4,7.190597489476204,6.700344562530518,5.063780784606934,75.20497576892376,77.55190286710858,1.46875,1.46875,1.4494974613189697,1.953125,0.1123046875, rabbits |  animals |  cats |  birds |  mammals, doors |  cats |  gates |  dogs |  babies,0.7661870718002319,0.5899280309677124,0.9424460530281067
5,5.110733420029282,5.370959758758545,2.665351152420044,72.50009933312734,72.40333424806595,1.46875,1.4765625,1.4494974613189697,1.953125,0.1171875, rabbits |  animals |  cats |  birds |  bird, doors |  cats |  gates |  dogs |  babies,0.7517985701560974,0.5611510872840881,0.9424460530281067
6,3.515359194142123,4.130067825317383,1.3026654720306396,71.56477363904317,58.83765172958374,1.4765625,1.484375,1.4494974613189697,1.9609375,0.12060546875, rabbits |  animals |  cats |  birds |  bird, cats |  doors |  gates |  dogs |  babies,0.7482014298439026,0.5539568066596985,0.9424460530281067
7,2.3702616864349695,2.669980764389038,1.0062187910079956,66.81271115938823,42.75566425323486,1.484375,1.484375,1.4494974613189697,1.9609375,0.12451171875, rabbits |  animals |  cats |  bird |  birds, cats |  doors |  gates |  dogs |  babies,0.7841726541519165,0.6258992552757263,0.9424460530281067
8,1.6247442984216225,1.7516250610351562,0.8376448154449463,58.09098761876424,34.46921552022298,1.484375,1.484375,1.4494974613189697,1.9609375,0.12890625, rabbits |  animals |  cats |  bird |  birds, cats |  doors |  gates |  dogs |  babies,0.8273381590843201,0.7122302055358887,0.9424460530281067
9,1.186914451487731,1.2563591003417969,0.57037752866745,48.03170928955078,30.76401594479879,1.4921875,1.4921875,1.4494974613189697,1.9609375,0.130859375, rabbits |  animals |  cats |  bird |  birds, cats |  doors |  gates |  dogs |  babies,0.8633093237876892,0.7841726541519165,0.9424460530281067
10,0.865243100021568,1.0877765417099,0.27674686908721924,41.77170473734538,28.606521972020467,1.4921875,1.4921875,1.4494974613189697,1.96875,0.1328125, rabbits |  animals |  cats |  bird |  birds, cats |  doors |  dogs |  gates |  shoes,0.8705036044120789,0.7913669347763062,0.9496402740478516
11,0.6679340994260504,0.7631206512451172,0.22455474734306335,39.35168724060058,29.364109500249228,1.4921875,1.5,1.4494974613189697,1.96875,0.134765625, rabbits |  animals |  cats |  bird |  birds, cats |  doors |  dogs |  gates |  babies,0.8884891867637634,0.8201438784599304,0.9568345546722412
12,0.5000255847076005,0.4970345199108124,0.20659449696540833,35.44179051717122,26.91983768145243,1.5,1.5,1.4494974613189697,1.96875,0.1357421875, rabbits |  animals |  bird |  cats |  birds, cats |  doors |  dogs |  gates |  babies,0.8956834673881531,0.8345323801040649,0.9568345546722412
13,0.3982380707768698,0.23447394371032715,0.28144630789756775,32.394272581736246,25.949048217137655,1.5,1.5,1.4494974613189697,1.96875,0.1376953125, rabbits |  bird |  animals |  cats |  birds, cats |  doors |  dogs |  gates |  babies,0.9208633303642273,0.8848921060562134,0.9568345546722412
14,0.3051760412346084,0.3076431155204773,0.1318063735961914,27.32399501800537,24.351697023709615,1.5,1.5,1.4494974613189697,1.96875,0.138671875, rabbits |  bird |  animals |  cats |  birds, cats |  doors |  dogs |  gates |  babies,0.9172661900520325,0.8776978254318237,0.9568345546722412
15,0.28398462723723694,0.3161415159702301,0.10374585539102554,23.99936180114746,23.76619845231374,1.5,1.5078125,1.4494974613189697,1.96875,0.1396484375, rabbits |  bird |  animals |  cats |  birds, cats |  doors |  dogs |  gates |  shoes,0.9208633303642273,0.8776978254318237,0.9640287756919861
16,0.2204088526493706,0.3782421350479126,0.0684061348438263,19.488803100585937,19.102577022711436,1.5078125,1.5078125,1.4494974613189697,1.9765625,0.1396484375, rabbits |  bird |  animals |  cats |  birds, cats |  doors |  dogs |  gates |  shoes,0.9244604110717773,0.8848921060562134,0.9640287756919861
