epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.23133428394794464,0.9431384801864624,66.26145833333334,78.19668782552084,1.078125,1.078125,1.0794202089309692,1.40625,0.1494140625,<tool_response> | 캤 |  doors | ᕯ | ﰴ, dogs |  |  |  chairs | 䨺,0.5042017102241516,0.5126050710678101,0.4957983195781708
2,,0.04132702946662903,0.33088651299476624,41.52122395833333,42.4359375,1.078125,1.078125,1.0794202089309692,1.4140625,0.142578125,<tool_response> | 캤 | ᕯ | ﰴ | 읅, dogs |  |  chairs |  |  cats,0.5714285969734192,0.5210084319114685,0.6218487620353699
3,,0.40410375595092773,0.014321994967758656,22.50831502278646,21.812109375,1.078125,1.078125,1.0794202089309692,1.421875,0.1259765625,<tool_response> | 캤 | ᕯ | ﰴ | ﮅ, dogs |  |  |  chairs |  cats,0.5588235259056091,0.26050421595573425,0.8571428656578064
4,,0.006113735493272543,0.35603851079940796,14.138505045572916,13.589371744791666,1.078125,1.078125,1.0794202089309692,1.4296875,0.1181640625,<tool_response> | ᕯ | 캤 | ﰴ | ﮅ, dogs |  chairs |  cats |  | ,0.6596638560295105,0.6890756487846375,0.6302521228790283
5,,0.0028313156217336655,0.14251850545406342,13.2322265625,12.990901692708333,1.078125,1.078125,1.0794202089309692,1.4453125,0.10498046875,<tool_response> | ᕯ | 캤 | ﮅ | ﰴ, dogs |  chairs |  cats |  | ,0.756302535533905,0.6470588445663452,0.8655462265014648
6,,0.013606155291199684,0.011575886979699135,5.276990254720052,5.1696044921875,1.078125,1.078125,1.0794202089309692,1.453125,0.0908203125,ᕯ | <tool_response> | 캤 | ﮅ | ﰴ, dogs |  cats |  chairs |  | ,0.7058823704719543,0.48739495873451233,0.924369752407074
7,,0.30029213428497314,0.0002531524805817753,8.956946563720702,8.711774190266928,1.078125,1.078125,1.0794202089309692,1.4765625,0.064453125,ᕯ | 캤 | <tool_response> | ﮅ |  doors, dogs |  cats |  chairs |  | ,0.6218487620353699,0.27731093764305115,0.9663865566253662
8,,0.007752788718789816,0.0028824270702898502,4.474774169921875,4.408934783935547,1.078125,1.078125,1.0794202089309692,1.484375,0.052734375,ᕯ | 캤 | <tool_response> | ﮅ |  doors, dogs |  cats |  chairs |  birds |  tents,0.7226890921592712,0.5126050710678101,0.9327731132507324
9,,0.06484799087047577,0.0006423534941859543,1.4907379150390625,1.4603932698567708,1.078125,1.078125,1.0794202089309692,1.5,0.036376953125,ᕯ | ﮅ | 캤 | <tool_response> | 𦒍, dogs |  cats |  chairs |  tents |  birds,0.6848739385604858,0.4453781545162201,0.924369752407074
10,,0.0011151712387800217,0.05825493484735489,8.084506982564927,7.887615243593852,1.078125,1.078125,1.0794202089309692,1.515625,0.01336669921875,ᕯ | ﮅ | 캤 | <tool_response> | 𦒍, dogs |  cats |  chairs |  birds |  tents,0.8445377945899963,0.7310924530029297,0.9579831957817078
11,,0.0008112472714856267,0.008965058252215385,0.7489322026570638,0.7564877192179362,1.078125,1.078125,1.0794202089309692,1.5234375,0.0076904296875,ᕯ | ﮅ | 캤 | <tool_response> | 툇, dogs |  cats |  chairs |  birds |  tents,0.8361344337463379,0.7142857313156128,0.9579831957817078
12,,0.016559313982725143,0.0002641627215780318,3.8668347358703614,3.8338140805562335,1.078125,1.078125,1.0794202089309692,1.5390625,-0.0167236328125,ᕯ | ﮅ | 캤 | 툇 | <tool_response>, dogs |  cats |  birds |  chairs |  tents,0.7647058963775635,0.5546218752861023,0.9747899174690247
13,,0.0001389491226291284,0.01945582777261734,0.7754500067482392,0.7074302673339844,1.078125,1.078125,1.0794202089309692,1.546875,-0.0283203125,ᕯ | ﮅ | 캤 | ﮰ | <tool_response>, dogs |  cats |  birds |  chairs |  tents,0.8529411554336548,0.7394958138465881,0.9663865566253662
14,,0.0013514671009033918,0.000976329087279737,0.8169680774211884,0.8189872741699219,1.078125,1.078125,1.0794202089309692,1.5625,-0.04443359375,ᕯ | ﮅ | 캤 | 툇 | ﮰ, dogs |  cats |  birds |  chairs |  tents,0.819327712059021,0.680672287940979,0.9579831957817078
15,,0.022360175848007202,9.134619904216379e-05,4.572408006588618,4.455579694112142,1.078125,1.078125,1.0794202089309692,1.5703125,-0.057861328125,ﮅ | ᕯ | 캤 | ﮰ | <tool_response>, dogs |  cats |  birds |  tents |  chairs,0.7899159789085388,0.6302521228790283,0.9495798349380493
16,,3.007505802088417e-05,0.07470287382602692,1.8158219882597526,1.7899244705835977,1.078125,1.078125,1.0794202089309692,1.5703125,-0.064453125,ᕯ | ﮅ | ﮰ | 캤 | <tool_response>, dogs |  cats |  birds |  chairs |  tents,0.8613445162773132,0.7647058963775635,0.9579831957817078
