epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.048883557706722,1.016054630279541,0.033674079924821854,59.19706420898437,51.64438444574674,1.484375,1.5,1.4494974613189697,1.953125,0.1416015625, dogs |  [wugs] |  dog |  door |  child, cats |  frogs |  dogs |  wolves |  puppies,0.902877688407898,0.9424460530281067,0.8633093237876892
2,0.9008460506903551,1.569061040878296,0.0008578632841818035,24.63215700785319,25.548078656196594,1.484375,1.5078125,1.4494974613189697,1.9609375,0.1376953125, dogs |  door |  dog |  [wugs] |  child, cats |  frogs |  dogs |  wolves |  puppies,0.8956834673881531,0.8633093237876892,0.9280575513839722
3,0.9500951416461249,1.0571876764297485,0.002465479774400592,22.172864579161008,21.15899175008138,1.4921875,1.5078125,1.4494974613189697,1.96875,0.138671875, dog |  dogs |  door |  [wugs] |  child, cats |  frogs |  dogs |  wolves |  puppies,0.8992805480957031,0.8848921060562134,0.9136690497398376
4,0.7372914578703141,0.00020370793936308473,2.4848814010620117,17.40507877667745,17.591257347663245,1.5,1.5,1.4494974613189697,1.9765625,0.1337890625, dog |  dogs |  child |  door |  bird, frogs |  cats |  dogs |  wolves |  puppies,0.8992805480957031,0.9640287756919861,0.8345323801040649
5,1.407552689848088,0.9687492847442627,0.0018211897695437074,26.300804204369584,26.192028311888375,1.4921875,1.515625,1.4494974613189697,1.984375,0.1318359375, dog |  door |  dogs |  child |  bird, cats |  frogs |  dogs |  wolves |  puppies,0.8705036044120789,0.8057553768157959,0.935251772403717
6,0.7261428885118903,0.0005111692007631063,1.6008331775665283,16.168843833667538,16.11221125125885,1.5,1.5078125,1.4494974613189697,1.984375,0.1318359375, dog |  door |  child |  dogs |  bird, cats |  frogs |  dogs |  wolves |  puppies,0.9136690497398376,0.9280575513839722,0.8992805480957031
7,0.9034388540415288,4.9516380386194214e-05,2.7109498977661133,22.1975852586329,22.080477635065716,1.515625,1.5078125,1.4494974613189697,1.9921875,0.126953125, dog |  child |  door |  dogs |  bird, frogs |  cats |  dogs |  wolves |  puppies,0.902877688407898,0.971222996711731,0.8345323801040649
8,0.9686085628999573,0.860073447227478,0.0028886303771287203,16.368461929944655,16.322771361470224,1.5,1.5234375,1.4494974613189697,2.0,0.125, dog |  door |  child |  dogs |  bird, cats |  frogs |  dogs |  wolves |  puppies,0.8776978254318237,0.8273381590843201,0.9280575513839722
9,1.307420842072891,1.5230401754379272,0.00014184029714670032,30.77374697246899,30.760523002843062,1.5,1.5234375,1.4494974613189697,2.0,0.12451171875, dog |  door |  child |  dogs |  bird, cats |  frogs |  dogs |  wolves |  puppies,0.8633093237876892,0.7913669347763062,0.935251772403717
10,0.9571666129132912,2.222612142562866,2.503214818716515e-05,20.86425478408734,20.856662356853484,1.5,1.53125,1.4494974613189697,2.015625,0.12109375, dog |  door |  goat |  dogs |  child, cats |  frogs |  dogs |  wolves |  puppies,0.8525179624557495,0.7625899314880371,0.9424460530281067
11,0.8434903332499251,0.0010099121136590838,1.1012859344482422,15.764833807264221,15.650964896877607,1.515625,1.515625,1.4494974613189697,2.0,0.12353515625, dog |  door |  child |  bird |  dogs, cats |  frogs |  dogs |  wolves |  puppies,0.9208633303642273,0.9424460530281067,0.8992805480957031
