epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.022573779026668,2.608093738555908,0.8175618052482605,83.12941309611003,75.97853892644247,1.453125,1.4609375,1.4494974613189697,1.921875,0.1318359375, chairs |  Chairs |  bird |  birds |  chair, birds |  trees |  walls |  lamps |  bird,0.6474820375442505,0.42446044087409973,0.8705036044120789
2,1.2074357869122954,0.4332466423511505,0.6594701409339905,54.001416015625,40.85791015625,1.4609375,1.46875,1.4494974613189697,1.9296875,0.1337890625, chairs |  bird |  Chairs |  chair |  birds, birds |  trees |  walls |  lamps |  bird,0.7769784331321716,0.6546762585639954,0.8992805480957031
3,0.5248534954812688,0.7344627380371094,0.034084245562553406,31.478621419270834,25.772257486979168,1.4609375,1.4765625,1.4494974613189697,1.9375,0.1337890625, bird |  chairs |  Chairs |  chair |  Chair, birds |  trees |  walls |  bird |  lamps,0.7517985701560974,0.5827338099479675,0.9208633303642273
4,0.4688435613847105,0.05624987557530403,0.36698615550994873,31.311931355794272,29.0388427734375,1.46875,1.4765625,1.4494974613189697,1.9375,0.1328125, bird |  chairs |  Chairs |  chair |  child, birds |  trees |  walls |  lamps |  bird,0.8309352397918701,0.7482014298439026,0.9136690497398376
5,0.4174005939038276,0.6179695129394531,0.017127089202404022,26.38073298136393,26.021129353841147,1.46875,1.4765625,1.4494974613189697,1.9453125,0.1318359375, bird |  chairs |  chair |  Chairs |  child, birds |  trees |  walls |  lamps |  bird,0.7949640154838562,0.6762589812278748,0.9136690497398376
6,0.5167595049605855,0.31895625591278076,0.05746379867196083,31.34342517852783,30.418775939941405,1.46875,1.4765625,1.4494974613189697,1.9453125,0.1318359375, bird |  chairs |  chair |  Chairs |  child, birds |  trees |  walls |  lamps |  bird,0.8273381590843201,0.7194244861602783,0.935251772403717
7,0.34938339373111377,0.846378743648529,0.006025449372828007,22.468670018513997,22.334046936035158,1.46875,1.4765625,1.4494974613189697,1.9453125,0.1298828125, bird |  chairs |  chair |  Chairs |  child, birds |  trees |  walls |  lamps |  bird,0.8057553768157959,0.6618704795837402,0.9496402740478516
8,0.39979616139050145,0.5854579210281372,0.01499349158257246,22.082251612345377,21.785123570760092,1.4765625,1.484375,1.4494974613189697,1.953125,0.1279296875, bird |  chairs |  chair |  Chairs |  child, birds |  trees |  walls |  lamps |  chickens,0.8381295204162598,0.7338129281997681,0.9424460530281067
9,0.3653370966902609,0.573504626750946,0.01620221883058548,21.31903257369995,20.99716135660807,1.4765625,1.4765625,1.4494974613189697,1.953125,0.1279296875, bird |  chairs |  chair |  Chairs |  child, birds |  trees |  walls |  lamps |  chickens,0.8381295204162598,0.7338129281997681,0.9424460530281067
10,0.43969426353651214,0.03491624444723129,0.39138543605804443,25.678986994425454,25.604489707946776,1.4765625,1.4765625,1.4494974613189697,1.953125,0.126953125, bird |  chairs |  chair |  Chairs |  child, birds |  trees |  walls |  lamps |  chickens,0.8776978254318237,0.8201438784599304,0.935251772403717
11,0.23043137926991525,0.014654218219220638,0.570503294467926,12.696597290039062,12.640319697062175,1.4765625,1.4765625,1.4494974613189697,1.953125,0.1259765625, bird |  chairs |  chair |  child |  Chairs, birds |  trees |  walls |  lamps |  chickens,0.8776978254318237,0.8201438784599304,0.935251772403717
12,0.38635240580400326,0.009396680630743504,0.6661573052406311,21.04576676686605,20.88815256754557,1.484375,1.4765625,1.4494974613189697,1.9609375,0.1240234375, bird |  chairs |  chair |  child |  Chairs, birds |  trees |  walls |  lamps |  chickens,0.8884891867637634,0.8417266011238098,0.935251772403717
