epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.243889570236206,0.715618908405304,56.172448348999026,58.386721801757815,1.453125,1.453125,1.4494974613189697,1.9140625,0.1259765625, phones | 猫 |  dogs |  Dogs |  trees, dogs |  rats | trees |  beasts |  lords,0.4957983195781708,0.05042016878724098,0.9411764740943909
2,,0.26550182700157166,0.26860660314559937,45.338932291666666,45.66953125,1.453125,1.453125,1.4494974613189697,1.921875,0.126953125, phones | 猫 |  dog |  Dogs |  dogs, dogs |  rats | trees |  beasts |  birds,0.5126050710678101,0.1428571492433548,0.8823529481887817
3,,0.07866641879081726,0.21071550250053406,33.340885416666666,31.399348958333334,1.453125,1.453125,1.4494974613189697,1.9296875,0.1171875,猫 |  phones |  dog |  phone |  Dogs, dogs |  rats |  birds |  beasts |  rabbits,0.5462185144424438,0.21848739683628082,0.8739495873451233
4,,0.018077004700899124,0.8953468203544617,23.952254231770834,22.468896484375,1.453125,1.4453125,1.4494974613189697,1.9375,0.10205078125, dog | 猫 |  phones |  phone |  Dogs, dogs |  rats |  birds |  rabbits | trees,0.5966386795043945,0.3445378243923187,0.848739504814148
5,,0.2266988754272461,0.11887089163064957,12.9838623046875,13.391127522786459,1.453125,1.4453125,1.4494974613189697,1.953125,0.09130859375, dog | 猫 |  phone |  phones |  Dogs, dogs |  rabbits |  birds |  rats |  cats,0.5840336084365845,0.21008403599262238,0.9579831957817078
6,,0.43280714750289917,0.004225383047014475,19.669197591145835,19.314518229166666,1.4453125,1.4453125,1.4494974613189697,1.96875,0.0732421875, dog | 猫 |  phone |  phones |  cat, dogs |  rabbits |  birds |  rats |  cats,0.5504201650619507,0.13445378839969635,0.9663865566253662
7,,0.05749458819627762,0.03555912524461746,15.321901448567708,15.026997884114584,1.453125,1.453125,1.4494974613189697,1.984375,0.0615234375, dog | 猫 |  phone |  visitor |  bird, dogs |  rabbits |  birds |  cats |  rats,0.6218487620353699,0.2689075767993927,0.9747899174690247
8,,0.03499244153499603,0.0253291018307209,11.923203531901041,11.866166178385416,1.4453125,1.4453125,1.4494974613189697,2.015625,0.0400390625, dog | 猫 |  phone |  kitten | 小狗, dogs |  rabbits |  birds |  cats |  rats,0.6218487620353699,0.2689075767993927,0.9747899174690247
9,,0.00015708859427832067,1.3038808107376099,4.523284912109375,4.493876139322917,1.453125,1.4453125,1.4494974613189697,2.03125,0.024658203125, dog | 猫 |  phone |  kitten | 小狗, birds |  dogs |  cats |  rabbits |  rats,0.743697464466095,0.6134454011917114,0.8739495873451233
10,,0.0002122782461810857,1.0770403146743774,9.224153645833333,9.01835231781006,1.453125,1.4453125,1.4494974613189697,2.03125,0.01416015625, dog | 猫 |  phone |  kitten | 小狗, dogs |  birds |  rabbits |  cats |  rats,0.7478991746902466,0.5882353186607361,0.9075630307197571
11,,0.0055181607604026794,0.09258881211280823,6.209776814778646,6.2616729736328125,1.453125,1.453125,1.4494974613189697,2.046875,0.0024871826171875, dog |  phone | 猫 | 小狗 |  kitten, dogs |  birds |  cats |  rabbits |  rats,0.6890756487846375,0.3949579894542694,0.9831932783126831
12,,0.034377552568912506,0.016049785539507866,9.480257161458333,9.433419799804687,1.453125,1.4453125,1.4494974613189697,2.078125,-0.022216796875, dog |  phone | 猫 | 小狗 |  kitten, dogs |  birds |  cats |  rabbits |  lamps,0.7058823704719543,0.4117647111415863,1.0
13,,0.23670366406440735,0.0005737299798056483,10.525581868489583,10.636218770345051,1.453125,1.453125,1.4494974613189697,2.09375,-0.03466796875, dog |  phone | 猫 | 小狗 |  kitten, dogs |  cats |  rabbits |  birds | 两只,0.6596638560295105,0.3193277418613434,1.0
14,,0.035060517489910126,0.010071550495922565,7.002332560221354,6.906646728515625,1.453125,1.453125,1.4494974613189697,2.09375,-0.048828125, dog |  phone | 猫 |  creature |  animal, cats |  birds |  dogs |  rabbits | 两只,0.6932772994041443,0.38655462861061096,1.0
15,,0.0014941173139959574,0.07497062534093857,7.614039611816406,7.562822977701823,1.453125,1.453125,1.4494974613189697,2.125,-0.06640625, dog |  creature |  phone |  animal |  kitten, cats |  birds |  dogs |  rabbits | 两只,0.756302535533905,0.529411792755127,0.9831932783126831
16,,0.3644435703754425,0.00021833584469277412,3.572527058919271,3.593210983276367,1.453125,1.4453125,1.4494974613189697,2.125,-0.07470703125, dog |  phone |  creature |  animal | 猫, cats |  dogs |  rabbits |  birds | 两只,0.6722689270973206,0.3445378243923187,1.0
17,,0.004489724989980459,0.027307843789458275,4.17657470703125,4.058150927225749,1.4453125,1.4453125,1.4494974613189697,2.140625,-0.09228515625, dog |  creature |  phone |  animal | 	child, cats |  dogs |  birds | 两只 |  rabbits,0.743697464466095,0.4957983195781708,0.9915966391563416
18,,0.00373632344417274,0.026860062032938004,9.108351643880209,9.119432576497395,1.4453125,1.4453125,1.4494974613189697,2.15625,-0.10986328125, dog |  creature |  phone |  animal | 	child, cats | 两只 |  dogs |  birds |  rabbits,0.7605041861534119,0.529411792755127,0.9915966391563416
19,,0.0004915487952530384,0.22363543510437012,4.393358357747396,4.38005739847819,1.453125,1.453125,1.4494974613189697,2.171875,-0.123046875, creature |  dog |  phone |  animal | 	child,两只 |  cats |  dogs |  birds |  rabbits,0.7731092572212219,0.5798319578170776,0.9663865566253662
20,,0.004013226833194494,0.0465535894036293,9.432252502441406,9.391673914591472,1.4453125,1.4453125,1.4494974613189697,2.1875,-0.134765625, creature |  dog |  phone |  animal | 	child,两只 |  cats |  dogs |  birds |  rabbits,0.7310924530029297,0.47058823704719543,0.9915966391563416
21,,0.08602513372898102,0.013288217596709728,6.719047768910726,6.728781382242839,1.453125,1.453125,1.4494974613189697,2.1875,-0.1455078125, creature |  dog |  phone |  animal |  visitor,两只 |  cats |  dogs |  rabbits |  birds,0.7394958138465881,0.4789915978908539,1.0
22,,0.028635213151574135,0.003067988669499755,7.214199940363566,7.157491556803385,1.453125,1.453125,1.4494974613189697,2.203125,-0.1533203125, creature |  dog |  phone |  animal | 	child,两只 |  cats |  dogs |  birds |  rabbits,0.7352941036224365,0.47058823704719543,1.0
23,,0.47665876150131226,0.00011732590064639226,4.050492350260416,4.115007750193278,1.453125,1.4453125,1.4494974613189697,2.203125,-0.1630859375, creature |  dog |  phone |  animal |  visitor,两只 |  cats |  dogs |  rabbits |  birds,0.680672287940979,0.3613445460796356,1.0
24,,0.0007883423240855336,0.09090812504291534,7.870849378903707,8.053494675954182,1.4453125,1.453125,1.4494974613189697,2.234375,-0.1806640625, creature |  dog |  phone |  animal | 小狗,两只 |  cats |  birds |  rabbits |  dogs,0.7773109078407288,0.5798319578170776,0.9747899174690247
25,,0.7173351049423218,6.506583304144442e-05,2.168310038248698,2.2833528995513914,1.453125,1.453125,1.4494974613189697,2.234375,-0.185546875, creature |  dog |  phone |  animal | 	child,两只 |  cats |  rabbits |  dogs |  birds,0.6722689270973206,0.3445378243923187,1.0
26,,0.0015005016466602683,0.018911542370915413,4.706893548245231,4.416766834259033,1.453125,1.453125,1.4494974613189697,2.234375,-0.1943359375, creature |  dog |  animal |  phone | 小狗,两只 |  cats |  birds |  rabbits |  два,0.7857142686843872,0.5966386795043945,0.9747899174690247
