epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.3004900813102722,2.084519863128662,56.26516927083333,52.28377075195313,1.4453125,1.453125,1.4494974613189697,1.90625,0.1328125, Door |  walls | _door |  mosques |  door, dogs |  walls |  birds |  wall |  pets,0.43884891271591187,0.8273381590843201,0.050359711050987244
2,,0.16434648633003235,0.6041988134384155,48.28333333333333,42.88645833333333,1.453125,1.4453125,1.4494974613189697,1.9140625,0.1298828125, Door |  walls | _door |  door |  doors, dogs |  walls |  birds |  wall |  pets,0.46043166518211365,0.7194244861602783,0.20143884420394897
3,,0.21208353340625763,0.13188941776752472,38.175,36.0890625,1.4453125,1.4453125,1.4494974613189697,1.921875,0.12060546875, Door |  walls | _door |  door |  doors, dogs |  walls |  birds |  wall |  cats,0.5107913613319397,0.6690647602081299,0.3525179922580719
4,,0.25666898488998413,0.08259602636098862,26.494010416666665,26.26640625,1.453125,1.453125,1.4494974613189697,1.9296875,0.11328125, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  pets,0.5215827226638794,0.6546762585639954,0.3884892165660858
5,,0.39505985379219055,0.02606586553156376,20.083463541666667,19.451432291666666,1.453125,1.453125,1.4494974613189697,1.9453125,0.10302734375, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  animals,0.5215827226638794,0.5755395889282227,0.4676258862018585
6,,0.14767847955226898,0.043927859514951706,15.945703125,15.649674479166666,1.453125,1.4453125,1.4494974613189697,1.953125,0.09130859375, Door |  walls | _door |  door |  doors, dogs |  birds |  walls |  cats |  pets,0.5467625856399536,0.5827338099479675,0.5107913613319397
7,,0.007533780299127102,0.3557084798812866,10.681754557291667,10.756608072916666,1.4453125,1.453125,1.4494974613189697,1.96875,0.080078125, Door |  walls | _door |  door | Door, dogs |  birds |  walls |  cats |  pets,0.5755395889282227,0.6258992552757263,0.5251798629760742
8,,0.02154170535504818,0.20827241241931915,16.128800455729166,16.0533447265625,1.453125,1.453125,1.4494974613189697,1.9765625,0.072265625, Door | _door |  walls |  door | Door, dogs |  birds |  walls |  cats |  pets,0.6007194519042969,0.6043165326118469,0.597122311592102
9,,0.4370827078819275,0.002085657324641943,4.69111328125,4.5301025390625,1.453125,1.453125,1.4494974613189697,1.984375,0.0625, Door |  walls | _door |  door | Door, dogs |  birds |  walls |  cats |  pets,0.5827338099479675,0.48201438784599304,0.6834532618522644
10,,0.02080138400197029,0.04963665083050728,8.516927083333334,8.522172037760416,1.4453125,1.453125,1.4494974613189697,1.9921875,0.052734375, Door |  walls | _door |  door | Door, dogs |  birds |  walls |  cats |  pets,0.6007194519042969,0.5467625856399536,0.6546762585639954
11,,0.1416386067867279,0.006054501049220562,6.820361328125,6.819083658854167,1.453125,1.4453125,1.4494974613189697,2.0,0.043701171875, Door |  walls | _door |  door | Door, dogs |  birds |  cats |  walls |  dolls,0.6187050342559814,0.5035971403121948,0.7338129281997681
12,,0.009516335092484951,0.1666577160358429,7.629337565104167,7.649869791666666,1.453125,1.453125,1.4494974613189697,2.015625,0.032958984375, Door | _door |  walls |  door | Door, dogs |  birds |  cats |  walls |  dolls,0.6294963955879211,0.568345308303833,0.6906474828720093
13,,0.14161105453968048,0.006842420436441898,6.113761393229167,6.089957682291667,1.4453125,1.453125,1.4494974613189697,2.03125,0.0235595703125, Door |  walls | _door |  door | Door, dogs |  birds |  cats |  walls |  dolls,0.6223021745681763,0.5035971403121948,0.7410072088241577
14,,0.018901100382208824,0.015460344962775707,9.436620076497396,9.392389933268229,1.453125,1.453125,1.4494974613189697,2.03125,0.015380859375, Door |  walls | _door |  door | Door, dogs |  birds |  cats |  walls |  dolls,0.6402877569198608,0.5467625856399536,0.7338129281997681
