epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,6.109875624999404,0.5855966806411743,0.26705965399742126,82.7885450522105,80.65812053140804,1.46875,1.4921875,1.4494974613189697,1.96875,0.1171875,_gate |  noun | _door |  birds |  cats, cats |  rats | cats |  lions |  Cats,0.5863309502601624,0.9208633303642273,0.2517985701560974
2,0.8952048850177865,1.3758883476257324,0.0020474509801715612,41.721449160575865,38.13001200358073,1.4765625,1.5078125,1.4494974613189697,1.984375,0.11572265625, noun | _gate | _door |  girl |  cats, cats |  rats |  lions | cats |  frogs,0.6942446231842041,0.9208633303642273,0.4676258862018585
3,1.0380212549931835,1.0399590730667114,0.0024354951456189156,34.48510969678561,33.28142096201579,1.4765625,1.5078125,1.4494974613189697,1.984375,0.11572265625,_gate |  noun | _door |  girl |  cats, cats |  rats |  lions | cats |  frogs,0.7158273458480835,0.8776978254318237,0.5539568066596985
4,0.7326430291510481,0.9430806040763855,0.002729478757828474,24.53793319389224,24.195906766255696,1.484375,1.5078125,1.4494974613189697,1.9921875,0.11181640625, noun | _gate | _door |  girl |  woman, cats |  rats |  lions | cats |  frogs,0.7338129281997681,0.9280575513839722,0.5395683646202087
5,0.8850364220334654,0.0007213842472992837,1.306471347808838,27.89869837866475,26.421980651219688,1.5,1.5,1.4494974613189697,2.0,0.11376953125,_gate |  noun |  girl | _door |  woman, cats |  rats |  lions | cats |  frogs,0.6798561215400696,0.9856114983558655,0.3741007149219513
6,0.6876191249860614,0.6121863722801208,0.01031557284295559,16.100039973979197,16.049252235889433,1.4921875,1.5078125,1.4494974613189697,2.0,0.11181640625, noun | _gate | _door |  girl |  woman, cats |  rats |  lions | cats |  frogs,0.7338129281997681,0.9496402740478516,0.5179855823516846
7,0.6354922810411757,1.3570916652679443,0.0004334651166573167,20.17247731089592,20.098369133472442,1.4921875,1.515625,1.4494974613189697,2.0,0.10888671875,_gate |  noun | _door |  girl |  woman, cats |  rats |  lions | cats |  frogs,0.7661870718002319,0.935251772403717,0.597122311592102
8,0.8669015560643702,1.0050737857818604,0.001504866755567491,21.89362447609504,21.85676095386346,1.4921875,1.515625,1.4494974613189697,2.015625,0.10693359375,_gate |  noun | _door |  girl |  woman, cats |  rats |  lions | cats |  frogs,0.7877697944641113,0.9424460530281067,0.633093535900116
9,0.47033154917855124,0.0005404631374403834,1.3025280237197876,15.744195115597298,15.716659784317017,1.5078125,1.5078125,1.4494974613189697,2.015625,0.1064453125,_gate |  noun |  girl | _door |  woman, cats |  rats |  lions | cats |  frogs,0.7194244861602783,0.9784172773361206,0.46043166518211365
10,0.5024251972025013,0.000446546939201653,1.302932620048523,10.696234166125457,10.587206069628397,1.5078125,1.5078125,1.4494974613189697,2.015625,0.10498046875,_gate |  noun | _door |  girl |  woman, cats |  rats |  lions | cats |  frogs,0.7266187071800232,0.9856114983558655,0.4676258862018585
11,0.6779423184245237,1.1028976440429688,0.0009667644626460969,15.91063718275788,15.895353388786315,1.5,1.5234375,1.4494974613189697,2.03125,0.10107421875,_gate |  noun | _door |  girl |  woman, cats |  rats |  lions |  frogs | cats,0.8021582961082458,0.9568345546722412,0.6474820375442505
12,0.9613498325186204,0.0024287807755172253,0.9031564593315125,26.03448162303927,26.02132521470388,1.5078125,1.515625,1.4494974613189697,2.03125,0.10107421875,_gate |  noun | _door |  girl |  woman, cats |  rats |  lions | cats |  frogs,0.7517985701560974,0.9784172773361206,0.5251798629760742
13,0.565564325696702,1.6052602529525757,0.00011951821943512186,14.929529444667667,14.930014928181967,1.5,1.53125,1.4494974613189697,2.03125,0.09716796875,_gate |  noun | _door |  girl |  woman, cats |  rats |  lions |  frogs | cats,0.8165467381477356,0.9280575513839722,0.7050359845161438
14,0.7015608760511479,0.006148769520223141,0.7067981362342834,15.666214730590582,15.625527000427246,1.5078125,1.515625,1.4494974613189697,2.03125,0.09912109375,_gate |  noun | _door |  girl |  woman, cats |  rats |  lions | cats |  frogs,0.7553957104682922,0.9784172773361206,0.5323740839958191
15,1.10541251858596,0.009959573857486248,0.6103460192680359,30.480652275308966,30.424167704582214,1.5078125,1.515625,1.4494974613189697,2.03125,0.0986328125,_gate |  noun | _door |  girl |  woman, cats |  rats |  lions | cats |  frogs,0.7589927911758423,0.971222996711731,0.5467625856399536
16,0.6979746735192559,0.0023610475473105907,0.903261125087738,20.31538077754279,20.27739862203598,1.515625,1.515625,1.4494974613189697,2.03125,0.09716796875,_gate |  noun | _door |  girl |  woman, cats |  rats |  lions | cats |  frogs,0.7661870718002319,0.9856114983558655,0.5467625856399536
17,0.8355413759321323,0.003760105697438121,0.8046648502349854,20.872555997098484,20.81203753153483,1.515625,1.515625,1.4494974613189697,2.046875,0.09619140625,_gate |  noun | _door |  girl |  woman, cats |  rats |  lions | cats |  frogs,0.7733812928199768,0.9856114983558655,0.5611510872840881
18,0.5352714443858834,1.8552887439727783,5.8440142311155796e-05,15.557360661774874,15.556167793273925,1.5078125,1.53125,1.4494974613189697,2.046875,0.09228515625,_gate |  noun | _door |  girl |  woman, cats |  rats |  lions |  frogs | cats,0.8201438784599304,0.935251772403717,0.7050359845161438
19,0.45249906717970134,2.1076676845550537,3.3591335522942245e-05,10.569272217899561,10.542026122411093,1.5078125,1.53125,1.4494974613189697,2.046875,0.09033203125,_gate |  noun | _door |  girl |  woman, cats |  rats |  lions |  frogs | cats,0.8381295204162598,0.9280575513839722,0.7482014298439026
