epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,3.4097876192691428,0.3632555305957794,0.35310256481170654,65.35783437093099,56.94939238230388,1.4765625,1.46875,1.4494974613189697,1.9609375,0.11474609375, puppy |  사람 |  woman | 牆 | , dogs |  cats |  sharks |  ducks |  elephants,0.49640288949012756,0.12230215966701508,0.8705036044120789
2,0.9893500944177503,0.538169801235199,0.04539761319756508,36.20680987040202,30.06758015950521,1.484375,1.4765625,1.4494974613189697,1.96875,0.1142578125, puppy |  사람 |  woman |  | , dogs |  cats |  sharks |  ducks |  elephants,0.5539568066596985,0.22302158176898956,0.8848921060562134
3,0.6667485818658557,0.8422427773475647,0.007480225991457701,27.39629224141439,27.586159082253776,1.484375,1.484375,1.4494974613189697,1.9765625,0.1103515625, puppy |  사람 |  woman |  | , dogs |  cats |  ducks |  sharks |  elephants,0.5251798629760742,0.17266187071800232,0.8776978254318237
4,0.388416201243687,1.2769160270690918,0.0006957412115298212,17.546868360042573,16.800301162401833,1.484375,1.484375,1.4494974613189697,1.984375,0.10693359375, puppy |  사람 |  woman |  | , dogs |  cats |  ducks |  sharks |  frogs,0.528777003288269,0.18705035746097565,0.8705036044120789
5,0.70273347017234,0.0018818399403244257,1.155503511428833,15.84457867940267,15.75165966351827,1.5,1.4765625,1.4494974613189697,1.9921875,0.10595703125, puppy |  woman |  사람 |  monkey |  kitten, dogs |  cats |  sharks |  ducks |  frogs,0.6618704795837402,0.4532374143600464,0.8705036044120789
6,0.20058807255912445,1.3023133277893066,0.0012591419508680701,7.6722520887851715,7.2404458324114485,1.4921875,1.4921875,1.4494974613189697,2.0,0.1005859375, puppy |  사람 |  woman |  | , dogs |  cats |  ducks |  sharks |  frogs,0.6223021745681763,0.35971224308013916,0.8848921060562134
7,0.2375416690365758,0.00025791380903683603,1.60358464717865,6.825797023375829,6.899213409423828,1.5078125,1.484375,1.4494974613189697,2.0,0.09765625, puppy |  woman |  kitten |  monkey |  사람, dogs |  cats |  sharks |  ducks |  frogs,0.7913669347763062,0.6834532618522644,0.8992805480957031
8,0.7199616272028606,1.054602026939392,0.0011772477300837636,15.919728288054467,15.890631255507468,1.5,1.4921875,1.4494974613189697,2.015625,0.09765625, puppy |  woman |  사람 |  monkey | , dogs |  cats |  ducks |  sharks |  frogs,0.5935251712799072,0.3093525171279907,0.8776978254318237
9,0.4367284956845045,1.1044834852218628,0.000936225289478898,10.74748379389445,10.694537514448166,1.5,1.4921875,1.4494974613189697,2.015625,0.0966796875, puppy |  woman |  사람 |  monkey | , dogs |  cats |  ducks |  sharks |  frogs,0.6007194519042969,0.32374101877212524,0.8776978254318237
10,1.0718109171708952,1.0534394979476929,0.0011847428977489471,30.942679555217424,30.914500848203897,1.5,1.4921875,1.4494974613189697,2.015625,0.095703125, puppy |  woman |  사람 |  monkey | , dogs |  cats |  ducks |  sharks |  frogs,0.6402877569198608,0.3884892165660858,0.8920863270759583
11,0.7030190174294906,0.7559210658073425,0.004846733994781971,20.91690708051125,20.885094960530598,1.5,1.4921875,1.4494974613189697,2.015625,0.09521484375, puppy |  woman |  사람 |  monkey | , dogs |  cats |  ducks |  sharks |  frogs,0.6690647602081299,0.4460431635379791,0.8920863270759583
12,1.107229031405662,0.001218557357788086,1.052439570426941,26.840814320246377,26.828779967625938,1.5078125,1.484375,1.4494974613189697,2.015625,0.0947265625, puppy |  woman |  사람 |  monkey |  kitten, dogs |  cats |  ducks |  sharks |  frogs,0.8201438784599304,0.7266187071800232,0.9136690497398376
13,0.944828456268336,1.152348279953003,0.0007701257709413767,26.058550581708552,26.033583130439123,1.5,1.4921875,1.4494974613189697,2.015625,0.09375, puppy |  woman |  사람 |  monkey | , dogs |  cats |  ducks |  sharks |  frogs,0.6762589812278748,0.46043166518211365,0.8920863270759583
14,0.5870767659636461,8.666527719469741e-05,1.8049057722091675,15.736440818632643,15.693246968587239,1.515625,1.484375,1.4494974613189697,2.015625,0.091796875, puppy |  woman |  monkey |  사람 |  kitten, dogs |  cats |  ducks |  sharks |  frogs,0.866906464099884,0.8129496574401855,0.9208633303642273
15,0.7572646654570235,3.644423486548476e-05,2.3610033988952637,20.56009164949258,20.541237449645998,1.515625,1.484375,1.4494974613189697,2.03125,0.09033203125, puppy |  woman |  monkey |  kitten |  사람, dogs |  cats |  ducks |  sharks |  frogs,0.8848921060562134,0.8489208817481995,0.9208633303642273
