epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.16016259789466858,0.07445923984050751,59.7262203335762,58.10669441223145,1.078125,1.078125,1.0794202089309692,1.4453125,0.10546875, |  | ᨳ | ᅨ | 섵, |  |  cats | 푱 | 쨕,0.5378151535987854,0.9747899174690247,0.10084033757448196
2,,0.24758851528167725,0.001837106072343886,27.07715441385905,26.34522247314453,1.078125,1.078125,1.0794202089309692,1.46875,0.07080078125, |  | ᨳ | ᅨ | 봽, cats |  |  | 푱 | 쨕,0.756302535533905,0.7058823704719543,0.8067227005958557
3,,3.2209243774414062,6.431988731492311e-05,11.492782600720723,11.418252595265706,1.078125,1.078125,1.0794202089309692,1.5,0.033447265625, |  | ᨳ | ﮰ | ⸽, cats |  |  | 푱 | 꿏,0.5630252361297607,0.1596638709306717,0.9663865566253662
4,,0.005891627632081509,0.005501153878867626,16.84931844371992,16.517734829584757,1.078125,1.078125,1.0794202089309692,1.5234375,0.001251220703125, |  | ᨳ | ﮰ | ﯢ, cats |  |  |  birds |  dogs,0.8277310729026794,0.8571428656578064,0.7983193397521973
5,,0.0013449594844132662,0.042200054973363876,0.7139455159505208,0.7975177764892578,1.078125,1.078125,1.0794202089309692,1.53125,-0.00787353515625, |  | ᨳ | ﮰ | ﯢ, cats |  |  |  birds |  dogs,0.819327712059021,0.831932783126831,0.8067227005958557
6,,0.029697168618440628,0.005579014308750629,0.9257991428176562,0.8595689376195271,1.078125,1.078125,1.0794202089309692,1.5546875,-0.034912109375, |  | ᨳ | ﯢ | ﮰ, cats |  |  |  birds |  dogs,0.831932783126831,0.7731092572212219,0.8907563090324402
7,,0.001377584645524621,0.001579684903845191,3.216414467493693,3.212693573658665,1.078125,1.078125,1.0794202089309692,1.59375,-0.08837890625, |  | ﮰ | ﯢ | ᨳ, cats |  |  |  dogs |  birds,0.8403361439704895,0.8151260614395142,0.8655462265014648
8,,0.0013757850974798203,0.0009880505967885256,6.561224967241287,6.482145022011052,1.078125,1.078125,1.0794202089309692,1.6171875,-0.12890625, |  | ﮰ | ﯢ | ⸽, cats |  |  |  birds |  twins,0.8529411554336548,0.7899159789085388,0.9159663915634155
9,,0.0014105448499321938,0.0005528314504772425,0.20857826868693033,0.19744465534264843,1.078125,1.078125,1.0794202089309692,1.625,-0.130859375, |  | ﮰ | ﯢ | ⸽, cats |  |  |  birds |  twins,0.8571428656578064,0.7815126180648804,0.9327731132507324
10,,1.9906790256500244,8.463841254524596e-07,0.9270582834879557,0.953387127071619,1.078125,1.078125,1.0794202089309692,1.640625,-0.1572265625, |  | ﮰ | ﯢ | 🐉, cats |  |  |  birds |  twins,0.6260504126548767,0.2689075767993927,0.9831932783126831
11,,0.00034785218304023147,0.0004756591224577278,14.326766102015972,13.91570050480465,1.078125,1.078125,1.0794202089309692,1.671875,-0.2001953125, |  | 🐉 | ﯢ | ﮰ, cats |  twins |  birds |  dogs |  elephants,0.8613445162773132,0.8067227005958557,0.9159663915634155
12,,0.0003704572154674679,0.0003794353106059134,0.030410607655843098,0.02927316603406022,1.078125,1.078125,1.0794202089309692,1.671875,-0.2001953125, |  | 🐉 | ﯢ | ﮰ, cats |  twins |  birds |  dogs | ,0.848739504814148,0.7983193397521973,0.8991596698760986
13,,1.0609432138153352e-05,0.0909716859459877,0.08650808334350586,0.07506842276391884,1.0859375,1.078125,1.0794202089309692,1.6796875,-0.20703125, |  | 🐉 | ﮰ | ﯢ, cats |  twins |  birds |  dogs |  двух,0.8067227005958557,0.831932783126831,0.7815126180648804
14,,0.13985493779182434,8.308774340548553e-06,11.676662991777993,11.665276834833398,1.078125,1.078125,1.0794202089309692,1.71875,-0.263671875, |  | 🐉 | ﯢ | ﮰ, cats |  twins |  birds |  dogs |  двух,0.7394958138465881,0.5210084319114685,0.9579831957817078
15,,0.0040803831070661545,0.001018943847157061,12.728995965622987,12.4978619345787,1.078125,1.078125,1.0794202089309692,1.7421875,-0.302734375, |  | 🐉 | 🐲 | ﲤ, twins |  cats |  birds |  двух |  dogs,0.8655462265014648,0.848739504814148,0.8823529481887817
