epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.8708303570747375,0.20911021530628204,59.76669108072917,55.1525634765625,1.453125,1.453125,1.4494974613189697,1.9453125,0.09912109375, doors |  dogs |  pets |  cats |  trees, chickens |  phones |  birds | flowers |  cats,0.16187050938606262,0.07194244861602783,0.2517985701560974
2,,0.41058892011642456,0.027452468872070312,45.868229166666666,45.569803873697914,1.4453125,1.4453125,1.4494974613189697,1.96875,0.07666015625, doors |  pets |  dogs |  gates |  trees, chickens |  phones |  birds |  cats |  wolves,0.19784173369407654,0.09352517873048782,0.30215826630592346
3,,0.21907179057598114,0.5209842920303345,19.24656016031901,18.206953938802084,1.453125,1.4453125,1.4494974613189697,2.0,0.0458984375, doors |  pets |  dogs |  thing |  gates, chickens |  phones |  birds |  cats |  wolves,0.35611510276794434,0.23021583259105682,0.48201438784599304
4,,3.090012550354004,0.00020672190294135362,17.444759972890218,17.354426991939544,1.4453125,1.453125,1.4494974613189697,2.015625,0.03271484375, doors |  gates |  thing | คน |  pets, chickens |  birds |  phones |  cats |  wolves,0.42805755138397217,0.10791366547346115,0.7482014298439026
5,,0.0034107391256839037,0.7866111993789673,18.015085856119793,17.927081553141274,1.453125,1.4453125,1.4494974613189697,2.046875,-0.00244140625, doors |  thing |  pets |  dogs |  gates, chickens |  birds |  phones |  cats | flowers,0.5251798629760742,0.3884892165660858,0.6618704795837402
6,,0.03146762028336525,0.019327420741319656,17.971503273646036,17.66987330118815,1.453125,1.4453125,1.4494974613189697,2.078125,-0.024658203125, doors |  thing |  gates | คน |  fences, chickens |  birds |  phones |  cats | flowers,0.5431654453277588,0.30215826630592346,0.7841726541519165
7,,0.0004616853257175535,0.39112788438796997,6.405733235677084,6.180299886067709,1.4453125,1.4453125,1.4494974613189697,2.09375,-0.052490234375, doors |  thing |  gates | คน |  girl, chickens |  birds |  phones |  cats | flowers,0.5503597259521484,0.3884892165660858,0.7122302055358887
8,,0.49287691712379456,0.0005086743622086942,16.97508036295573,16.91190134684245,1.4453125,1.453125,1.4494974613189697,2.125,-0.07861328125, doors |  thing | คน |  girl |  gates, chickens |  birds |  phones |  cats |  mice,0.528777003288269,0.22302158176898956,0.8345323801040649
9,,0.005588689353317022,0.027688011527061462,14.669201278686524,14.809501393636067,1.453125,1.4453125,1.4494974613189697,2.15625,-0.1015625, doors |  thing | คน |  girl | animal, birds |  chickens |  phones |  cats |  mice,0.5935251712799072,0.35971224308013916,0.8273381590843201
10,,6.182986544445157e-05,1.1112550497055054,2.1489542643229167,2.1469955444335938,1.453125,1.453125,1.4494974613189697,2.15625,-0.1083984375, doors |  thing |  gates | คน | animal, birds |  chickens |  phones |  cats |  mice,0.568345308303833,0.40287768840789795,0.7338129281997681
11,,0.018075663596391678,0.00329497829079628,14.539159202575684,14.44493953883648,1.453125,1.453125,1.4494974613189697,2.1875,-0.140625, doors |  thing | คน |  creature | animal, birds |  chickens |  cats |  phones | 两只,0.5827338099479675,0.32374101877212524,0.8417266011238098
