idx,target_type,attractors,target_num,condition,subject_word,target_word,base_sentence,good,bad,tok_len
0,verb,0,pl,target_verb_num_pl_att0_sg,finchs,mount,The calm finchs,The calm finchs mount,The calm finchs mounts,5
1,verb,0,pl,target_verb_num_pl_att0_sg,crows,stretch,The narrow crows,The narrow crows stretch,The narrow crows stretches,5
2,verb,0,sg,target_verb_num_sg_att0_pl,harrier,remains,The rocky harrier,The rocky harrier remains,The rocky harrier remain,5
3,verb,0,sg,target_verb_num_sg_att0_pl,skunk,reads,The mild skunk,The mild skunk reads,The mild skunk read,5
4,verb,0,sg,target_verb_num_sg_att0_pl,earwig,sleeps,The restless earwig,The restless earwig sleeps,The restless earwig sleep,5
5,verb,0,sg,target_verb_num_sg_att0_pl,mink,coils,The merry mink,The merry mink coils,The merry mink coil,5
6,verb,0,pl,target_verb_num_pl_att0_sg,dingos,dive,The dull dingos,The dull dingos dive,The dull dingos dives,5
7,verb,0,sg,target_verb_num_sg_att0_pl,finch,arrives,The fast finch,The fast finch arrives,The fast finch arrive,5
8,verb,0,sg,target_verb_num_sg_att0_pl,vole,surfaces,The cheerful vole,The cheerful vole surfaces,The cheerful vole surface,5
9,verb,0,pl,target_verb_num_pl_att0_sg,doves,stride,The swift doves,The swift doves stride,The swift doves strides,5
10,verb,0,pl,target_verb_num_pl_att0_sg,finchs,drink,The bold finchs,The bold finchs drink,The bold finchs drinks,5
11,verb,0,pl,target_verb_num_pl_att0_sg,coyotes,nod,The aged coyotes,The aged coyotes nod,The aged coyotes nods,5
12,verb,0,sg,target_verb_num_sg_att0_pl,bison,gathers,The silky bison,The silky bison gathers,The silky bison gather,5
13,verb,0,sg,target_verb_num_sg_att0_pl,hedgehog,swims,The hot hedgehog,The hot hedgehog swims,The hot hedgehog swim,5
14,verb,0,sg,target_verb_num_sg_att0_pl,whale,strides,The mossy whale,The mossy whale strides,The mossy whale stride,5
15,verb,0,pl,target_verb_num_pl_att0_sg,flamingos,sing,The serene flamingos,The serene flamingos sing,The serene flamingos sings,5
16,verb,0,sg,target_verb_num_sg_att0_pl,raven,probes,The hollow raven,The hollow raven probes,The hollow raven probe,5
17,verb,0,sg,target_verb_num_sg_att0_pl,gazelle,races,The frail gazelle,The frail gazelle races,The frail gazelle race,5
18,verb,0,sg,target_verb_num_sg_att0_pl,plover,skips,The keen plover,The keen plover skips,The keen plover skip,5
19,verb,0,pl,target_verb_num_pl_att0_sg,falcons,settle,The pale falcons,The pale falcons settle,The pale falcons settles,5
20,verb,0,pl,target_verb_num_pl_att0_sg,hawks,approach,The amber hawks,The amber hawks approach,The amber hawks approaches,5
21,verb,0,pl,target_verb_num_pl_att0_sg,harriers,scale,The twisted harriers,The twisted harriers scale,The twisted harriers scales,5
22,verb,0,pl,target_verb_num_pl_att0_sg,vipers,remain,The rocky vipers,The rocky vipers remain,The rocky vipers remains,5
23,verb,0,sg,target_verb_num_sg_att0_pl,colt,arises,The brisk colt,The brisk colt arises,The brisk colt arise,5
24,verb,0,pl,target_verb_num_pl_att0_sg,skunks,climb,The hard skunks,The hard skunks climb,The hard skunks climbs,5
25,verb,0,sg,target_verb_num_sg_att0_pl,jellyfish,waits,The social jellyfish,The social jellyfish waits,The social jellyfish wait,5
26,verb,0,pl,target_verb_num_pl_att0_sg,ticks,drink,The woolly ticks,The woolly ticks drink,The woolly ticks drinks,5
27,verb,0,pl,target_verb_num_pl_att0_sg,swans,surface,The cheerful swans,The cheerful swans surface,The cheerful swans surfaces,5
28,verb,0,pl,target_verb_num_pl_att0_sg,donkeys,hunt,The smooth donkeys,The smooth donkeys hunt,The smooth donkeys hunts,5
29,verb,0,sg,target_verb_num_sg_att0_pl,ewe,sleeps,The cold ewe,The cold ewe sleeps,The cold ewe sleep,5
30,verb,0,pl,target_verb_num_pl_att0_sg,vipers,scale,The twisted vipers,The twisted vipers scale,The twisted vipers scales,5
31,verb,0,sg,target_verb_num_sg_att0_pl,numbat,pushes,The loyal numbat,The loyal numbat pushes,The loyal numbat push,5
32,verb,0,sg,target_verb_num_sg_att0_pl,swan,arises,The brisk swan,The brisk swan arises,The brisk swan arise,5
33,verb,0,sg,target_verb_num_sg_att0_pl,robin,wheels,The jolly robin,The jolly robin wheels,The jolly robin wheel,5
34,verb,0,sg,target_verb_num_sg_att0_pl,minnow,sings,The serene minnow,The serene minnow sings,The serene minnow sing,5
35,verb,0,sg,target_verb_num_sg_att0_pl,elk,arrives,The puny elk,The puny elk arrives,The puny elk arrive,5
36,verb,0,pl,target_verb_num_pl_att0_sg,rattlers,rush,The sharp rattlers,The sharp rattlers rush,The sharp rattlers rushes,5
37,verb,0,pl,target_verb_num_pl_att0_sg,skunks,walk,The youthful skunks,The youthful skunks walk,The youthful skunks walks,5
38,verb,0,pl,target_verb_num_pl_att0_sg,storks,bolt,The eager storks,The eager storks bolt,The eager storks bolts,5
39,verb,0,pl,target_verb_num_pl_att0_sg,finchs,scale,The quiet finchs,The quiet finchs scale,The quiet finchs scales,5
40,verb,0,pl,target_verb_num_pl_att0_sg,lambs,claw,The tame lambs,The tame lambs claw,The tame lambs claws,5
41,verb,0,pl,target_verb_num_pl_att0_sg,jays,work,The tangled jays,The tangled jays work,The tangled jays works,5
42,verb,0,pl,target_verb_num_pl_att0_sg,crows,race,The bronze crows,The bronze crows race,The bronze crows races,5
43,verb,0,sg,target_verb_num_sg_att0_pl,raccoon,floats,The coarse raccoon,The coarse raccoon floats,The coarse raccoon float,5
44,verb,0,sg,target_verb_num_sg_att0_pl,gopher,stretches,The glossy gopher,The glossy gopher stretches,The glossy gopher stretch,5
45,verb,0,pl,target_verb_num_pl_att0_sg,lambs,arrive,The fast lambs,The fast lambs arrive,The fast lambs arrives,5
46,verb,0,sg,target_verb_num_sg_att0_pl,termite,gathers,The lean termite,The lean termite gathers,The lean termite gather,5
47,verb,0,pl,target_verb_num_pl_att0_sg,swans,claw,The tame swans,The tame swans claw,The tame swans claws,5
48,verb,0,pl,target_verb_num_pl_att0_sg,ferrets,gather,The silky ferrets,The silky ferrets gather,The silky ferrets gathers,5
49,verb,0,sg,target_verb_num_sg_att0_pl,kit,grabs,The docile kit,The docile kit grabs,The docile kit grab,5
50,verb,0,sg,target_verb_num_sg_att0_pl,gnat,spins,The lazy gnat,The lazy gnat spins,The lazy gnat spin,5
51,verb,0,sg,target_verb_num_sg_att0_pl,walrus,skips,The keen walrus,The keen walrus skips,The keen walrus skip,5
52,verb,0,sg,target_verb_num_sg_att0_pl,tick,surfaces,The lithe tick,The lithe tick surfaces,The lithe tick surface,5
53,verb,0,sg,target_verb_num_sg_att0_pl,wombat,reads,The mild wombat,The mild wombat reads,The mild wombat read,5
54,verb,0,pl,target_verb_num_pl_att0_sg,jackals,stretch,The glossy jackals,The glossy jackals stretch,The glossy jackals stretches,5
55,verb,0,sg,target_verb_num_sg_att0_pl,bunting,dreams,The straight bunting,The straight bunting dreams,The straight bunting dream,5
56,verb,0,pl,target_verb_num_pl_att0_sg,carps,rock,The busy carps,The busy carps rock,The busy carps rocks,5
57,verb,0,sg,target_verb_num_sg_att0_pl,finch,mounts,The calm finch,The calm finch mounts,The calm finch mount,5
58,verb,0,pl,target_verb_num_pl_att0_sg,jackals,mount,The tidy jackals,The tidy jackals mount,The tidy jackals mounts,5
59,verb,0,sg,target_verb_num_sg_att0_pl,otter,gathers,The silky otter,The silky otter gathers,The silky otter gather,5
60,verb,0,pl,target_verb_num_pl_att0_sg,lobsters,spring,The foolish lobsters,The foolish lobsters spring,The foolish lobsters springs,5
61,verb,0,pl,target_verb_num_pl_att0_sg,foxs,arrive,The fast foxs,The fast foxs arrive,The fast foxs arrives,5
62,verb,0,sg,target_verb_num_sg_att0_pl,termite,nods,The idle termite,The idle termite nods,The idle termite nod,5
63,verb,0,pl,target_verb_num_pl_att0_sg,rams,tunnel,The loud rams,The loud rams tunnel,The loud rams tunnels,5
64,verb,0,pl,target_verb_num_pl_att0_sg,zebras,nod,The aged zebras,The aged zebras nod,The aged zebras nods,5
65,verb,0,pl,target_verb_num_pl_att0_sg,magpies,remain,The tough magpies,The tough magpies remain,The tough magpies remains,5
66,verb,0,sg,target_verb_num_sg_att0_pl,magpie,coils,The elegant magpie,The elegant magpie coils,The elegant magpie coil,5
67,verb,0,sg,target_verb_num_sg_att0_pl,aphid,hides,The hostile aphid,The hostile aphid hides,The hostile aphid hide,5
68,verb,0,sg,target_verb_num_sg_att0_pl,drake,mounts,The calm drake,The calm drake mounts,The calm drake mount,5
69,verb,0,sg,target_verb_num_sg_att0_pl,starling,walks,The youthful starling,The youthful starling walks,The youthful starling walk,5
70,verb,0,sg,target_verb_num_sg_att0_pl,midge,pushes,The clumsy midge,The clumsy midge pushes,The clumsy midge push,5
