epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.2631337642669678,0.13702163100242615,68.95833333333333,55.83084299005568,1.453125,1.453125,1.4494974613189697,1.921875,0.1220703125, gates |  dogs |  doors |  chairs | _door, cows |  rats |  dogs |  beasts |  creatures,0.3025210201740265,0.5546218752861023,0.05042016878724098
2,,0.06901898980140686,0.32883211970329285,43.434895833333336,45.282552083333336,1.453125,1.453125,1.4494974613189697,1.9375,0.107421875, gates |  dogs |  doors | _door |  chairs, cows |  rats |  dogs |  rabbits |  cats,0.4327731132507324,0.7478991746902466,0.11764705926179886
3,,0.7145754098892212,0.019262822344899178,27.883235677083334,26.846175130208334,1.4453125,1.453125,1.4494974613189697,1.9609375,0.08203125, gates | _door |  dogs |  doors | 者は, cows |  dogs |  rats |  cats |  rabbits,0.44117647409439087,0.42016807198524475,0.462184876203537
4,,0.334852397441864,0.023611420765519142,19.802628580729166,19.608199055989584,1.453125,1.4453125,1.4494974613189697,1.984375,0.064453125, gates |  dogs | _door |  doors | 者は, cows |  dogs |  rats |  cats |  rabbits,0.4495798349380493,0.43697479367256165,0.462184876203537
5,,1.5955212116241455,0.00020290046813897789,16.551944986979166,15.971846516927084,1.453125,1.453125,1.4494974613189697,2.015625,0.039794921875, gates | _door |  doors |  dogs | 者は, cows |  dogs |  rats |  cats |  rabbits,0.5420168042182922,0.26050421595573425,0.8235294222831726
6,,0.004951099399477243,0.23476409912109375,19.88778076171875,19.45936870574951,1.453125,1.4453125,1.4494974613189697,2.03125,0.0172119140625, gates | _door |  doors |  dogs | 者は, cows |  dogs |  rats |  cats |  rabbits,0.5042017102241516,0.756302535533905,0.2521008551120758
7,,1.2763087749481201,0.0010153178591281176,5.796256510416667,5.883236694335937,1.4453125,1.4453125,1.4494974613189697,2.0625,-0.01239013671875, gates | _door |  doors | 者は |  dogs, cows |  dogs |  rats |  cats |  rabbits,0.5546218752861023,0.29411765933036804,0.8151260614395142
8,,0.00093155971262604,0.6537953615188599,10.458319091796875,10.557888539632161,1.453125,1.453125,1.4494974613189697,2.078125,-0.025146484375, gates | _door |  doors | 者は | creature, cows |  dogs |  cats |  rats |  rabbits,0.5966386795043945,0.831932783126831,0.3613445460796356
9,,0.28156450390815735,0.05372355505824089,12.265372721354167,12.322894032796224,1.4453125,1.4453125,1.4494974613189697,2.109375,-0.06396484375, gates | _door |  Gates |  doors | 者は, cows |  dogs |  cats |  rabbits |  rats,0.5924369692802429,0.5210084319114685,0.6638655662536621
10,,0.07092739641666412,0.027206290513277054,10.282493019104004,10.316153971354167,1.453125,1.453125,1.4494974613189697,2.125,-0.0712890625, gates | _door |  goat | creature | 者は, cows |  dogs |  cats |  rabbits |  rats,0.6470588445663452,0.605042040348053,0.6890756487846375
11,,0.7298849821090698,0.00041124626295641065,5.04364013671875,5.151018039385478,1.4453125,1.453125,1.4494974613189697,2.15625,-0.0986328125, gates | _door |  Gates | 者は |  doors, cows |  dogs |  cats |  rabbits |  rats,0.605042040348053,0.2857142984867096,0.924369752407074
12,,0.0008745938539505005,0.151249498128891,7.654991642634074,7.55412859916687,1.4453125,1.453125,1.4494974613189697,2.171875,-0.1201171875, gates |  creature | _door | creature |  goat, cows |  dogs |  rabbits |  cats | 两只,0.7605041861534119,0.7310924530029297,0.7899159789085388
