epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.057948045432567596,0.8803817629814148,65.05364583333333,72.3359619140625,1.078125,1.078125,1.0794202089309692,1.40625,0.1494140625,<tool_response> | 캤 | ᕯ | ﰴ |  doors, dogs |  |  |  chairs |  cats,0.5588235259056091,0.5378151535987854,0.5798319578170776
2,,0.05396081879734993,0.10477115958929062,35.00963541666667,35.99947916666667,1.078125,1.078125,1.0794202089309692,1.421875,0.1318359375,<tool_response> | 캤 | ᕯ |  doors | ﰴ, dogs |  |  |  chairs |  cats,0.5840336084365845,0.3613445460796356,0.8067227005958557
3,,0.6062761545181274,0.008839377202093601,18.879095967610677,18.403776041666667,1.078125,1.078125,1.0794202089309692,1.4453125,0.10302734375,<tool_response> | ᕯ | 캤 | ﮅ | 𦒍, dogs |  cats |  chairs |  tents | ,0.5840336084365845,0.2689075767993927,0.8991596698760986
4,,0.0018971895333379507,0.5424829125404358,15.704164632161458,15.622109985351562,1.078125,1.078125,1.0794202089309692,1.453125,0.0888671875,<tool_response> | ᕯ | 캤 | ﮅ | ﰴ, dogs |  cats |  chairs |  tents |  birds,0.7941176295280457,0.8151260614395142,0.7731092572212219
5,,0.0020376748871058226,0.059011589735746384,13.046903483072917,12.83096923828125,1.078125,1.078125,1.0794202089309692,1.46875,0.0693359375,ᕯ | <tool_response> | 캤 | ﮅ |  doors, dogs |  cats |  chairs |  tents |  birds,0.819327712059021,0.7142857313156128,0.924369752407074
6,,0.008261729031801224,0.004038638435304165,6.789058907826742,6.59857177734375,1.078125,1.078125,1.0794202089309692,1.5,0.037841796875,ﮅ | ᕯ | 캤 | <tool_response> |  doors, dogs |  cats |  chairs |  birds |  phones,0.8151260614395142,0.6974790096282959,0.9327731132507324
7,,0.06048351526260376,0.0002199204172939062,9.359167098999023,8.986887105305989,1.078125,1.078125,1.0794202089309692,1.515625,0.00927734375,ﮅ | 캤 |  doors | ᕯ | <tool_response>, dogs |  cats |  chairs |  birds |  phones,0.7647058963775635,0.5714285969734192,0.9579831957817078
8,,0.0019061112543568015,0.0017650334630161524,1.3251129150390626,1.214040501912435,1.078125,1.078125,1.0794202089309692,1.5234375,0.001953125,ﮅ | ᕯ | 캤 | <tool_response> |  doors, dogs |  cats |  chairs |  birds |  phones,0.8361344337463379,0.7226890921592712,0.9495798349380493
9,,0.04397328197956085,0.00022457311570178717,0.5865099589029948,0.529051685333252,1.078125,1.078125,1.0794202089309692,1.53125,-0.0128173828125,ﮅ | ᕯ | 캤 | <tool_response> |  doors, dogs |  cats |  birds |  chairs |  tents,0.8025209903717041,0.6554622054100037,0.9495798349380493
10,,3.7273413909133524e-05,0.5725464820861816,6.396990811793755,6.093137162908291,1.078125,1.078125,1.0794202089309692,1.578125,-0.06640625,ᕯ | ﮅ | ﮰ | 캤 | <tool_response>, dogs |  cats |  birds |  tents |  chairs,0.8865545988082886,0.848739504814148,0.924369752407074
11,,7.099505455698818e-05,0.10231630504131317,5.150557716190815,5.147400912394127,1.0859375,1.078125,1.0794202089309692,1.59375,-0.08642578125,ﮅ | ᕯ | ﮰ | 캤 | <tool_response>, dogs |  cats |  birds |  chairs |  tents,0.8907563090324402,0.8571428656578064,0.924369752407074
