epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,6.577103614807129,5.220600605010986,59.91600251197815,60.162042236328126,1.078125,1.078125,1.0794202089309692,1.4296875,0.1259765625, doors | <tool_response> | 캤 | 갘 | 괙, dogs |  chairs |  |  | 䨺,0.44117647409439087,0.1764705926179886,0.7058823704719543
2,,4.166687488555908,3.2192673683166504,64.59023539225261,60.327734375,1.078125,1.0859375,1.0794202089309692,1.421875,0.1328125, doors | <tool_response> | 캤 | ᕯ | 괙, |  dogs |  |  chairs | 䨺,0.43697479367256165,0.19327731430530548,0.680672287940979
3,,2.589611053466797,2.085875988006592,67.56079457600912,62.26744791666667,1.078125,1.078125,1.0794202089309692,1.421875,0.1376953125, doors | <tool_response> | 캤 | ᕯ | 괙, |  |  dogs |  chairs | 䨺,0.44117647409439087,0.20168067514896393,0.680672287940979
4,,1.584786057472229,1.794412612915039,66.85772298177083,62.665104166666666,1.078125,1.078125,1.0794202089309692,1.4140625,0.140625,<tool_response> | 캤 |  doors | ᕯ | 괙, |  |  dogs |  chairs | 䨺,0.4453781545162201,0.26050421595573425,0.6302521228790283
5,,1.2514759302139282,1.2167860269546509,62.52526652018229,62.12708333333333,1.078125,1.078125,1.0794202089309692,1.4140625,0.142578125,<tool_response> | 캤 | ᕯ |  doors | 괙, |  |  dogs |  chairs | 䨺,0.45798319578170776,0.22689075767993927,0.6890756487846375
6,,0.8215243220329285,0.9519303441047668,51.504276529947916,53.645833333333336,1.078125,1.078125,1.0794202089309692,1.4140625,0.14453125,<tool_response> | 캤 | ᕯ | 괙 | ﰴ, |  |  dogs |  chairs | 䨺,0.462184876203537,0.2521008551120758,0.6722689270973206
7,,0.7710427641868591,0.549335777759552,50.43211263020833,49.733333333333334,1.078125,1.078125,1.0794202089309692,1.4140625,0.1455078125,<tool_response> | 캤 | ᕯ | 괙 | ﰴ, |  |  dogs |  chairs | 䨺,0.4831932783126831,0.26050421595573425,0.7058823704719543
8,,0.5660521388053894,0.5034506916999817,39.92552083333333,41.46666666666667,1.0859375,1.078125,1.0794202089309692,1.4140625,0.146484375,<tool_response> | 캤 | ᕯ | 괙 | ﰴ, |  |  dogs |  chairs | 䨺,0.47058823704719543,0.26050421595573425,0.680672287940979
9,,0.3825858235359192,0.5197117328643799,38.5634765625,35.37916666666667,1.078125,1.078125,1.0794202089309692,1.4140625,0.1455078125,<tool_response> | 캤 | ᕯ | 괙 | ﰴ, |  |  dogs |  chairs | 䨺,0.48739495873451233,0.3025210201740265,0.6722689270973206
10,,0.2929663062095642,0.40468138456344604,33.2911865234375,33.385416666666664,1.078125,1.078125,1.0794202089309692,1.4140625,0.1455078125,캤 | <tool_response> | ᕯ | 괙 | ﰴ, |  |  chairs |  dogs | 䨺,0.5084033608436584,0.2857142984867096,0.7310924530029297
11,,0.27986687421798706,0.2602771520614624,28.842643229166665,27.022916666666667,1.078125,1.0859375,1.0794202089309692,1.4140625,0.14453125,캤 | <tool_response> | ᕯ | 괙 | ﰴ, |  |  dogs |  chairs | 䨺,0.5126050710678101,0.2857142984867096,0.7394958138465881
